"File","OrigW","OrigH","LoadedW","LoadedH","Format","Alpha","Mip","Bpp","Bytes"
"Assets\_Project\Art\TEXTURES\Detali\visor droplet mask.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Detali\visor runoff normal.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Sky\bo2.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\Sky\bo3.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\Sky\clod1.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\Sky\clod2.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\Sky\eb2.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\Sky\oblaka!.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\Sky\oblakajip.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\Terrain Textures\sand\Ground079S_1K-PNG_Color.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\sand\NORMAL.png","2048","1829","2048","1829","1","0","1","0.5","2496570.368"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.branching\albedo___family.coral.branching.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.branching\detail___family.coral.branching.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.branching\mask___family.coral.branching.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.branching\normal___family.coral.branching.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.branching.v2\albedo___family.coral.branching.v2.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.branching.v2\detail___family.coral.branching.v2.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.branching.v2\mask___family.coral.branching.v2.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.branching.v2\normal___family.coral.branching.v2.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.brittle\albedo___family.coral.brittle.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.brittle\detail___family.coral.brittle.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.brittle\mask___family.coral.brittle.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.brittle\normal___family.coral.brittle.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.low\albedo___family.coral.low.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.low\detail___family.coral.low.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.low\mask___family.coral.low.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.low\normal___family.coral.low.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.massive\albedo___family.coral.massive.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.massive\detail___family.coral.massive.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.massive\mask___family.coral.massive.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.massive\normal___family.coral.massive.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.massive.2\albedo___family.coral.massive.2.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.massive.2\detail___family.coral.massive.2.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.massive.2\mask___family.coral.massive.2.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.massive.2\normal___family.coral.massive.2.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.plate\albedo___family.coral.plate.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.plate\detail___family.coral.plate.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.plate\mask___family.coral.plate.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.coral.plate\normal___family.coral.plate.png","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.abyssal\albedo___family.kelp.abyssal.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.abyssal\detail___family.kelp.abyssal.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.abyssal\mask___family.kelp.abyssal.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.abyssal\normal___family.kelp.abyssal.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.canopy\albedo___family.kelp.canopy.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.canopy\detail___family.kelp.canopy.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.canopy\mask___family.kelp.canopy.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.canopy\normal___family.kelp.canopy.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.patch.dense\albedo___family.kelp.patch.dense.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.patch.dense\detail___family.kelp.patch.dense.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.patch.dense\mask___family.kelp.patch.dense.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.patch.dense\normal___family.kelp.patch.dense.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.tall\albedo___family.kelp.tall.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.tall\detail___family.kelp.tall.png","2048","2048","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.tall\mask___family.kelp.tall.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\WorldProceduralFlora\Imported\family.kelp.tall\normal___family.kelp.tall.png","2048","2048","2048","2048","1","0","1","0.5","2795503.616"
"Assets\_Project\Art\TEXTURES\Terrain Textures\2rock\Rocks007_1K-JPG_AmbientOcclusion.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\2rock\Rocks007_1K-JPG_Color.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\2rock\Rocks007_1K-JPG_NormalGL.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\basalt\Rock031_1K-JPG_Color.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\basalt\Rock031_1K-JPG_NormalGL.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\gravel\Gravel020_1K-JPG_AmbientOcclusion.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\gravel\Gravel020_1K-JPG_Color.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\gravel\Gravel020_1K-JPG_NormalGL.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\moss\Ground047_1K-JPG_AmbientOcclusion.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\moss\Ground047_1K-JPG_Color.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\moss\Ground047_1K-JPG_NormalGL.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\mud\Ground051_1K-JPG_AmbientOcclusion.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\mud\Ground051_1K-JPG_Color.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\mud\Ground051_1K-JPG_NormalGL.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\rocks\Rocks019_1K-JPG_AmbientOcclusion.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\rocks\Rocks019_1K-JPG_Color.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\rocks\Rocks019_1K-JPG_NormalGL.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\sand +green\Ground074_1K-JPG_AmbientOcclusion.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\sand +green\Ground074_1K-JPG_Color.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
"Assets\_Project\Art\TEXTURES\Terrain Textures\sand +green\Ground074_1K-JPG_NormalGL.jpg","1024","1024","1024","1024","1","0","1","0.5","698875.904"
