# HECTON-8 SURVIVAL DATABASE FINAL
Date: 2026-04-23
Status: PENDING VERIFICATION

Mandates followed:
- DATA_Inventory_Resources_Items_SOA_Layout.txt
- CORE_Abyss_Survival_Systems_O2_Pressure_Logic.txt
- LOGI_Energy_Networks_Power_Grid_Graph_Flow.txt
- UI_Data_Streaming_ZeroGC_Optimization.txt
- UI_Localization_Babel_RTL_FontSwap_ZeroAlloc.txt

Project truths absorbed into this spec:
- Current item authoring owner is `ItemData` with `ItemCategory`, `ResourceFamily`, and `ProgressionTier Tier0..Tier3`.
- Current recipe authoring owner is `RecipeData` with fabrication groups `Materials / Components / Tools / Suit / Construction / Power`.
- Current runtime oxygen base is `SurvivalStats.oxygenConsumptionRate = 1.5` and depth pressure is `1 + depth * 0.1` in `HectonSurvivalSystem`.
- Current pressure damage begins after `safeDepth` and scales by `pressureScalePerMeter = 0.02`.
- Current module life-support anchors in `BaseModule` are `oxygenRefillRate = 15`, `breathableReserveCapacity = 120`, `airRecycleRate = 6`, `occupiedAirDrainRate = 9`, `staleAirThreshold = 0.25`, `staleAirSuitDrainRate = 3`.
- Current authored audio-log asset shells exist for `chen_m_datapad_01`, `captain_last_broadcast`, `biologist_samples`, `medic_diary`, and `atlas6_terminal_sector3` only.

[ANALYSIS]
Target:
- Exhaustive survival database for items, survival math, lore logs, logistics graph rules, and bilingual item localization seed keys.

Affected systems:
- ItemData authoring pipeline
- RecipeData and fabrication grouping
- HectonSurvivalSystem oxygen / temperature / integrity loops
- BaseModule dry-air reserve and stale-air behavior
- Narrative archive / AudioLogData / PDA stream surfaces
- Future construction power and oxygen graph nodes

Zero GC proof:
- This document is data/spec only. No runtime code changed.
- Narrative streaming schema is fixed-array oriented: numeric IDs, stable hashes, UTF-8 blob offsets, no per-open JSON parsing, no runtime string concatenation, no dynamic sorting in UI.
- Item localization registry is precomputed by stable keys and hashes so runtime can resolve table entries without generated keys.

State check:
- Progression tiers remain inside existing project limits `Tier0..Tier3`.
- Buildable rows are marked `RecipeData + Construction owner` to avoid pretending they are already direct `ItemData` loot assets.
- Existing registry/audio-log IDs are reused where they already exist; spec-only IDs are flagged as such in `RepoAnchor`.
- No claim of runtime fix. This is authored data only. Status remains `PENDING VERIFICATION` until user validates in editor/runtime.

Rule quote:
- "[REQ] Before any task, scan C:\hades\Hecton8\.agents-skills\ and load ONLY relevant mandates."
- "[RULE] Every technical report must include: REGRESSION MODEL (CPU/GC/memory/cadence/correctness) · HOT PATH IMPACT · FAILURE MODES · WHY KEPT/REJECTED."

======================================================================
1. AUTHORING CONVENTIONS
======================================================================

- Tier0 = bootstrap salvage / upper drydock / 0-120 m
- Tier1 = early colony stabilization / 120-600 m
- Tier2 = drowned factories / 600-2500 m
- Tier3 = abyssal and forbidden infrastructure / 2500-5000 m
- `Hash` = FNV-1a 32-bit of stable ID.
- `NameKey` / `DescKey` = initial localization seeds. Descriptions stay stubbed for later narrative expansion; names are fully seeded here for EN/RU.
- `EnergyDensity` is chemical or stored-energy potential in MJ/kg for economy balancing. Structural junk is explicitly zeroed.
- `ScavengeValue` is salvage desirability, not vendor price. It drives scan interest, fabrication urgency, and route choice.

Logical category split:
- RawResource: 40
- ProcessedMaterial: 30
- Component: 40
- Tool: 22
- Equipment: 13
- BuildableKit: 30
- Wreckage: 45
- Total: 220

======================================================================
2. ITEM MASTER TABLE
======================================================================

StableId|Hash|LogicalCategory|AuthoringTarget|ItemCategory|ResourceFamily|Tier|NameEN|NameRU|MassKg|VolumeL|EnergyDensityMJkg|BaseDurability|ScavengeValue|NameKey|DescKey
Data_BiolumPaste|0xBC07BDF5|RawResource|ItemData|Organic|Organic|Tier1|Biolum Paste|Биолюминесцентная паста|0.94|1.30|1.90|19|16|ITEM_DATA_BIOLUMPASTE_NAME|ITEM_DATA_BIOLUMPASTE_DESC
Data_MembraneTissue|0xC1ACF5C4|RawResource|ItemData|Organic|Organic|Tier1|Membrane Tissue|Мембранная ткань|0.94|1.30|1.90|19|16|ITEM_DATA_MEMBRANETISSUE_NAME|ITEM_DATA_MEMBRANETISSUE_DESC
Data_EnzymeCoral|0xD4A0B197|RawResource|ItemData|Organic|Organic|Tier1|Enzyme Coral|Ферментный коралл|0.94|1.30|1.90|19|16|ITEM_DATA_ENZYMECORAL_NAME|ITEM_DATA_ENZYMECORAL_DESC
Data_ThermalGel|0x4BD0539F|RawResource|ItemData|Material|Chemical|Tier1|Thermal Gel|Термальный гель|1.18|1.00|2.70|24|18|ITEM_DATA_THERMALGEL_NAME|ITEM_DATA_THERMALGEL_DESC
Data_CobaltAlloy|0x4B254CB8|RawResource|ItemData|Material|ElectronicsMetal|Tier1|Cobalt Alloy|Кобальтовый сплав|2.85|1.12|0.00|41|15|ITEM_DATA_COBALTALLOY_NAME|ITEM_DATA_COBALTALLOY_DESC
Data_AbyssalCrystal|0x50278D73|RawResource|ItemData|Material|Crystal|Tier1|Abyssal Crystal|Абиссальный кристалл|1.98|0.93|3.90|46|38|ITEM_DATA_ABYSSALCRYSTAL_NAME|ITEM_DATA_ABYSSALCRYSTAL_DESC
Data_ManganeseNodule|0x64EBC87C|RawResource|ItemData|Material|StructuralMetal|Tier2|Manganese Nodule|Марганцевая конкреция|3.30|1.24|0.00|46|20|ITEM_DATA_MANGANESENODULE_NAME|ITEM_DATA_MANGANESENODULE_DESC
Data_BasaltCore|0x19DAD4FC|RawResource|ItemData|Material|StructuralMetal|Tier2|Basalt Core|Базальтовое ядро|3.30|1.24|0.00|46|20|ITEM_DATA_BASALTCORE_NAME|ITEM_DATA_BASALTCORE_DESC
Data_BrineQuartz|0x6AB59867|RawResource|ItemData|Material|Crystal|Tier2|Brine Quartz|Рассольный кварц|1.84|0.96|0.80|36|28|ITEM_DATA_BRINEQUARTZ_NAME|ITEM_DATA_BRINEQUARTZ_DESC
Data_PhosphorSlurry|0x4C710FC4|RawResource|ItemData|Material|Chemical|Tier2|Phosphor Slurry|Фосфорный шлам|1.36|1.10|3.20|28|24|ITEM_DATA_PHOSPHORSLURRY_NAME|ITEM_DATA_PHOSPHORSLURRY_DESC
Data_AlgaeProtein|0xA0996F55|RawResource|ItemData|Organic|Organic|Tier2|Algae Protein|Белок водорослей|1.08|1.40|2.20|22|21|ITEM_DATA_ALGAEPROTEIN_NAME|ITEM_DATA_ALGAEPROTEIN_DESC
Data_CalcifiedTube|0x7FCFEED8|RawResource|ItemData|Organic|Organic|Tier2|Calcified Tube|Кальцинированная трубка|1.08|1.40|2.20|22|21|ITEM_DATA_CALCIFIEDTUBE_NAME|ITEM_DATA_CALCIFIEDTUBE_DESC
Data_MagnesiumFlake|0x55858BBF|RawResource|ItemData|Material|StructuralMetal|Tier2|Magnesium Flake|Магниевая чешуйка|3.30|1.24|0.00|46|20|ITEM_DATA_MAGNESIUMFLAKE_NAME|ITEM_DATA_MAGNESIUMFLAKE_DESC
Data_VanadiumShard|0x07D135A5|RawResource|ItemData|Material|StructuralMetal|Tier2|Vanadium Shard|Ванадиевый осколок|3.30|1.24|0.00|46|20|ITEM_DATA_VANADIUMSHARD_NAME|ITEM_DATA_VANADIUMSHARD_DESC
Data_BorateStone|0x4E82DED0|RawResource|ItemData|Material|Crystal|Tier2|Borate Stone|Боратовый камень|1.84|0.96|0.80|36|28|ITEM_DATA_BORATESTONE_NAME|ITEM_DATA_BORATESTONE_DESC
Data_MethaneIce|0x583FE7A5|RawResource|ItemData|Material|DeepMaterial|Tier2|Methane Ice|Метановый лед|2.26|1.01|4.80|46|38|ITEM_DATA_METHANEICE_NAME|ITEM_DATA_METHANEICE_DESC
Data_CryoBrine|0x8254E05B|RawResource|ItemData|Material|DeepMaterial|Tier3|Cryo Brine|Крио-рассол|2.54|1.09|5.70|58|58|ITEM_DATA_CRYOBRINE_NAME|ITEM_DATA_CRYOBRINE_DESC
Data_ConductiveSponge|0x12098612|RawResource|ItemData|Material|DeepMaterial|Tier3|Conductive Sponge|Проводящая губка|2.54|1.09|5.70|52|48|ITEM_DATA_CONDUCTIVESPONGE_NAME|ITEM_DATA_CONDUCTIVESPONGE_DESC
Data_CarbonSludge|0x32ADCD2D|RawResource|ItemData|Material|Chemical|Tier3|Carbon Sludge|Углеродный шлам|1.54|1.20|3.70|32|30|ITEM_DATA_CARBONSLUDGE_NAME|ITEM_DATA_CARBONSLUDGE_DESC
Data_TelluricSand|0x48C30EE0|RawResource|ItemData|Material|Crystal|Tier3|Telluric Sand|Теллуровый песок|2.06|1.04|1.00|40|35|ITEM_DATA_TELLURICSAND_NAME|ITEM_DATA_TELLURICSAND_DESC
Data_SodiumLimestone|0x376DAB55|RawResource|ItemData|Material|Chemical|Tier3|Sodium Limestone|Натриевый известняк|1.54|1.20|3.70|32|30|ITEM_DATA_SODIUMLIMESTONE_NAME|ITEM_DATA_SODIUMLIMESTONE_DESC
Data_FerroKelpStem|0x84EF3279|RawResource|ItemData|Organic|Organic|Tier3|Ferro Kelp Stem|Феррокелповый стебель|1.22|1.50|2.50|25|26|ITEM_DATA_FERROKELPSTEM_NAME|ITEM_DATA_FERROKELPSTEM_DESC
Data_ShellLacquer|0xEFA63769|RawResource|ItemData|Organic|Organic|Tier3|Shell Lacquer|Раковинный лак|1.22|1.50|2.50|25|26|ITEM_DATA_SHELLLACQUER_NAME|ITEM_DATA_SHELLLACQUER_DESC
Data_PressurePearl|0x18952F37|RawResource|ItemData|Material|Crystal|Tier3|Pressure Pearl|Жемчуг давления|2.54|1.09|5.70|58|58|ITEM_DATA_PRESSUREPEARL_NAME|ITEM_DATA_PRESSUREPEARL_DESC
Data_BrineSulfurGlass|0x584BEE3B|RawResource|ItemData|Material|Crystal|Tier3|Brine Sulfur Glass|Рассольно-серное стекло|2.54|1.09|5.70|52|48|ITEM_DATA_BRINESULFURGLASS_NAME|ITEM_DATA_BRINESULFURGLASS_DESC
Data_AtlasResidue|0x256B3452|RawResource|ItemData|Material|DeepMaterial|Tier3|Atlas Residue|Остаток Atlas|2.54|1.09|5.70|58|58|ITEM_DATA_ATLASRESIDUE_NAME|ITEM_DATA_ATLASRESIDUE_DESC
Proc_CopperIngot|0x102C7156|ProcessedMaterial|ItemData|Material|ElectronicsMetal|Tier0|Copper Ingot|Медный слиток|1.60|0.70|0.20|44|18|ITEM_PROC_COPPERINGOT_NAME|ITEM_PROC_COPPERINGOT_DESC
Proc_TitaniumPlate|0x9D20108F|ProcessedMaterial|ItemData|Material|StructuralMetal|Tier0|Titanium Plate|Титановая пластина|1.60|0.70|0.20|44|18|ITEM_PROC_TITANIUMPLATE_NAME|ITEM_PROC_TITANIUMPLATE_DESC
Proc_SilicaGlass|0xDC717F77|ProcessedMaterial|ItemData|Material|Crystal|Tier0|Silica Glass|Кремнеземное стекло|1.60|0.70|0.20|44|18|ITEM_PROC_SILICAGLASS_NAME|ITEM_PROC_SILICAGLASS_DESC
Proc_ResinBinder|0x5C641BCB|ProcessedMaterial|ItemData|Material|Chemical|Tier0|Resin Binder|Смоляное связующее|0.70|0.55|4.20|26|20|ITEM_PROC_RESINBINDER_NAME|ITEM_PROC_RESINBINDER_DESC
Proc_FilterChar|0x7461CBC0|ProcessedMaterial|ItemData|Material|Chemical|Tier0|Filter Char|Фильтрующий уголь|0.70|0.55|4.20|26|20|ITEM_PROC_FILTERCHAR_NAME|ITEM_PROC_FILTERCHAR_DESC
Proc_OxygenPellet|0x65638564|ProcessedMaterial|ItemData|Consumable|Power|Tier0|Oxygen Pellet|Кислородная таблетка|0.50|0.45|6.40|18|22|ITEM_PROC_OXYGENPELLET_NAME|ITEM_PROC_OXYGENPELLET_DESC
Proc_EnergyGel|0xD5527C66|ProcessedMaterial|ItemData|Material|Chemical|Tier0|Energy Gel|Энергетический гель|0.50|0.45|5.50|18|22|ITEM_PROC_ENERGYGEL_NAME|ITEM_PROC_ENERGYGEL_DESC
Proc_ElectrolyteAmpoule|0x6667CD17|ProcessedMaterial|ItemData|Consumable|Chemical|Tier0|Electrolyte Ampoule|Электролитная ампула|0.50|0.45|5.50|18|22|ITEM_PROC_ELECTROLYTEAMPOULE_NAME|ITEM_PROC_ELECTROLYTEAMPOULE_DESC
Proc_EmergencyO2Canister|0xFDF151C3|ProcessedMaterial|ItemData|Consumable|Chemical|Tier1|Emergency O2 Canister|Аварийный баллон O2|0.58|0.49|6.20|21|30|ITEM_PROC_EMERGENCYO2CANISTER_NAME|ITEM_PROC_EMERGENCYO2CANISTER_DESC
Proc_FieldMedGel|0x748D9BB4|ProcessedMaterial|ItemData|Consumable|Chemical|Tier1|Field Med Gel|Полевой медгель|0.58|0.49|6.20|21|30|ITEM_PROC_FIELDMEDGEL_NAME|ITEM_PROC_FIELDMEDGEL_DESC
Proc_BrineSolvent|0x610541FD|ProcessedMaterial|ItemData|Material|Chemical|Tier1|Brine Solvent|Рассольный растворитель|0.80|0.60|5.00|30|27|ITEM_PROC_BRINESOLVENT_NAME|ITEM_PROC_BRINESOLVENT_DESC
Proc_MembranePatch|0x0AFBCAA7|ProcessedMaterial|ItemData|Material|StructuralMetal|Tier1|Membrane Patch|Мембранная заплата|1.86|0.76|0.25|50|24|ITEM_PROC_MEMBRANEPATCH_NAME|ITEM_PROC_MEMBRANEPATCH_DESC
Proc_ThermalCatalyst|0xA879A87A|ProcessedMaterial|ItemData|Material|Chemical|Tier1|Thermal Catalyst|Термокатализатор|0.80|0.60|5.00|30|27|ITEM_PROC_THERMALCATALYST_NAME|ITEM_PROC_THERMALCATALYST_DESC
Proc_FluxCompound|0xC198E224|ProcessedMaterial|ItemData|Material|Chemical|Tier1|Flux Compound|Флюсовый состав|0.80|0.60|5.00|30|27|ITEM_PROC_FLUXCOMPOUND_NAME|ITEM_PROC_FLUXCOMPOUND_DESC
Proc_DeconFoam|0x17B53E0A|ProcessedMaterial|ItemData|Material|Chemical|Tier1|Decon Foam|Дезактивационная пена|0.80|0.60|5.00|30|27|ITEM_PROC_DECONFOAM_NAME|ITEM_PROC_DECONFOAM_DESC
Proc_FoodBrick_Algae|0x7E7D4754|ProcessedMaterial|ItemData|Consumable|Chemical|Tier1|Algae Food Brick|Водорослевый пищевой брикет|0.58|0.49|6.20|21|30|ITEM_PROC_FOODBRICK_ALGAE_NAME|ITEM_PROC_FOODBRICK_ALGAE_DESC
Proc_WaterFlask_BrineClean|0xBEE981E2|ProcessedMaterial|ItemData|Consumable|Chemical|Tier2|Clean Brine Flask|Фляга очищенного рассола|0.66|0.53|6.90|24|38|ITEM_PROC_WATERFLASK_BRINECLEAN_NAME|ITEM_PROC_WATERFLASK_BRINECLEAN_DESC
Proc_HeatCell|0x6D102E58|ProcessedMaterial|ItemData|Material|Power|Tier2|Heat Cell|Тепловая ячейка|0.90|0.65|7.10|34|34|ITEM_PROC_HEATCELL_NAME|ITEM_PROC_HEATCELL_DESC
Proc_BatteryAnodePaste|0xEB1EA3D5|ProcessedMaterial|ItemData|Material|Power|Tier2|Battery Anode Paste|Анодная паста|0.90|0.65|7.10|34|34|ITEM_PROC_BATTERYANODEPASTE_NAME|ITEM_PROC_BATTERYANODEPASTE_DESC
Proc_CryoInsulationGel|0xD8666427|ProcessedMaterial|ItemData|Material|Chemical|Tier2|Cryo Insulation Gel|Криоизоляционный гель|0.90|0.65|5.80|40|44|ITEM_PROC_CRYOINSULATIONGEL_NAME|ITEM_PROC_CRYOINSULATIONGEL_DESC
Proc_BioSealFoam|0xE86E83E4|ProcessedMaterial|ItemData|Material|Chemical|Tier2|Bio Seal Foam|Биогерметизирующая пена|0.90|0.65|5.80|34|34|ITEM_PROC_BIOSEALFOAM_NAME|ITEM_PROC_BIOSEALFOAM_DESC
Proc_OpticPolish|0xC7792FAE|ProcessedMaterial|ItemData|Material|Chemical|Tier2|Optic Polish|Оптическая полировка|0.90|0.65|5.80|34|34|ITEM_PROC_OPTICPOLISH_NAME|ITEM_PROC_OPTICPOLISH_DESC
Proc_LubricantGrease|0xB3992491|ProcessedMaterial|ItemData|Material|Chemical|Tier2|Lubricant Grease|Смазка|0.90|0.65|5.80|34|34|ITEM_PROC_LUBRICANTGREASE_NAME|ITEM_PROC_LUBRICANTGREASE_DESC
Proc_NutrientBroth|0xF3B77B76|ProcessedMaterial|ItemData|Consumable|Chemical|Tier2|Nutrient Broth|Питательный бульон|0.66|0.53|6.90|24|38|ITEM_PROC_NUTRIENTBROTH_NAME|ITEM_PROC_NUTRIENTBROTH_DESC
Proc_HydrogenCanister|0x6B643DC7|ProcessedMaterial|ItemData|Consumable|Power|Tier3|Hydrogen Canister|Водородный баллон|1.00|0.70|8.10|38|41|ITEM_PROC_HYDROGENCANISTER_NAME|ITEM_PROC_HYDROGENCANISTER_DESC
Proc_CO2ScrubberCartridge|0xF9ED3E53|ProcessedMaterial|ItemData|Consumable|Power|Tier3|CO2 Scrubber Cartridge|Картридж CO2-фильтра|0.74|0.57|7.60|27|46|ITEM_PROC_CO2SCRUBBERCARTRIDGE_NAME|ITEM_PROC_CO2SCRUBBERCARTRIDGE_DESC
Proc_AdhesiveTapeIndustrial|0x924C3D62|ProcessedMaterial|ItemData|Material|StructuralMetal|Tier3|Adhesive Tape Industrial|Промышленная клейкая лента|2.38|0.88|0.35|62|36|ITEM_PROC_ADHESIVETAPEINDUSTRIAL_NAME|ITEM_PROC_ADHESIVETAPEINDUSTRIAL_DESC
Proc_SterilePack|0x6DD2C5F3|ProcessedMaterial|ItemData|Consumable|Chemical|Tier3|Sterile Pack|Стерильный набор|0.74|0.57|7.60|27|46|ITEM_PROC_STERILEPACK_NAME|ITEM_PROC_STERILEPACK_DESC
Proc_RadiationPillPack|0xEC6CD16F|ProcessedMaterial|ItemData|Consumable|Chemical|Tier3|Radiation Pill Pack|Комплект радиозащитных таблеток|0.74|0.57|7.60|27|46|ITEM_PROC_RADIATIONPILLPACK_NAME|ITEM_PROC_RADIATIONPILLPACK_DESC
Proc_SignalDye|0x37D33AF4|ProcessedMaterial|ItemData|Material|Chemical|Tier3|Signal Dye|Сигнальный краситель|1.00|0.70|6.60|38|41|ITEM_PROC_SIGNALDYE_NAME|ITEM_PROC_SIGNALDYE_DESC
Comp_BatteryCell|0x98578818|Component|ItemData|Component|Power|Tier0|Battery Cell|Батарейная ячейка|1.10|0.50|1.70|52|28|ITEM_COMP_BATTERYCELL_NAME|ITEM_COMP_BATTERYCELL_DESC
Comp_BeaconCore|0x89FF5090|Component|ItemData|Component|Component|Tier0|Beacon Core|Ядро маяка|1.10|0.50|0.80|52|28|ITEM_COMP_BEACONCORE_NAME|ITEM_COMP_BEACONCORE_DESC
Comp_CircuitBoard|0xC9AA3246|Component|ItemData|Component|Component|Tier0|Circuit Board|Печатная плата|1.10|0.50|0.80|52|28|ITEM_COMP_CIRCUITBOARD_NAME|ITEM_COMP_CIRCUITBOARD_DESC
Comp_CoolingCartridge|0x5D60DE7F|Component|ItemData|Component|Component|Tier0|Cooling Cartridge|Охлаждающий картридж|1.10|0.50|0.80|52|28|ITEM_COMP_COOLINGCARTRIDGE_NAME|ITEM_COMP_COOLINGCARTRIDGE_DESC
Comp_CopperWire|0x98A584EF|Component|ItemData|Component|Component|Tier0|Copper Wire|Медный провод|1.10|0.50|0.80|52|28|ITEM_COMP_COPPERWIRE_NAME|ITEM_COMP_COPPERWIRE_DESC
Comp_FiberMesh|0xD668983E|Component|ItemData|Component|Component|Tier0|Fiber Mesh|Волоконная сетка|2.00|0.90|0.10|60|24|ITEM_COMP_FIBERMESH_NAME|ITEM_COMP_FIBERMESH_DESC
Comp_GlassPanel|0x0FF5B38D|Component|ItemData|Component|Component|Tier0|Glass Panel|Стеклянная панель|2.00|0.90|0.10|60|24|ITEM_COMP_GLASSPANEL_NAME|ITEM_COMP_GLASSPANEL_DESC
Comp_GuidanceModule|0x013D44D5|Component|ItemData|Component|Component|Tier0|Guidance Module|Модуль наведения|1.10|0.50|0.80|52|28|ITEM_COMP_GUIDANCEMODULE_NAME|ITEM_COMP_GUIDANCEMODULE_DESC
Comp_HighCapacityCell|0xE418797B|Component|ItemData|Component|Component|Tier1|High Capacity Cell|Ячейка высокой емкости|1.25|0.54|0.90|59|36|ITEM_COMP_HIGHCAPACITYCELL_NAME|ITEM_COMP_HIGHCAPACITYCELL_DESC
Comp_HydraulicActuator|0x44131AFF|Component|ItemData|Component|Component|Tier1|Hydraulic Actuator|Гидравлический актуатор|2.28|0.96|0.12|68|32|ITEM_COMP_HYDRAULICACTUATOR_NAME|ITEM_COMP_HYDRAULICACTUATOR_DESC
Comp_LubricantResin|0x9A19F4CE|Component|ItemData|Component|Component|Tier1|Lubricant Resin|Смоляная смазка|2.28|0.96|0.12|68|32|ITEM_COMP_LUBRICANTRESIN_NAME|ITEM_COMP_LUBRICANTRESIN_DESC
