Route,Type,Static state,Classification,Activation path,Rollback state,Key risk,Proof required
MAT_H8_SurfaceFoamPatchCloud_1459,Authored patch cloud material,Material/mesh assets exist; no scene object found by static search,Deferred salvage candidate,Requires placement/owner,Remove added placement or keep asset unused,"No scene route proven; could become decal spam",Placement screenshot + object bounds proof
MAT_H8_ShorelineFoamFine_1469,Authored fine shoreline material,Material/mesh assets exist; no scene object found by static search,Premium candidate but not scene-activated,Requires scene placement/owner after current routes fail,Remove added placement or keep asset unused,"No serialized scene object found; needs authored placement proof",Close waterline screenshot + material slot validation
H8_FloorCausticSoft_1443,Authored floor caustic mesh,GameObject active; renderer enabled per Batch22,Receiver material candidate,First caustic proof: inspect visibility and strength before enabling anything else,If edited restore original material/object state,"May be outside camera/too weak/occluded",Underwater floor screenshot + material strength check
MAT_H8_FloorCausticSoft_1443,Floor caustic material,Shader assigned; _ScaleA 0.62 _ScaleB 0.98 _Sharpness 5.8,Receiver material candidate,Adjust strength only after active mesh visibility is proven,Restore original material values,"Can become neon stripes if strength raised blindly",Before/after screenshot; no neon stripes
H8_FloorCausticPatches_1438,Authored floor caustic patches,GameObject inactive; renderer disabled,Disabled but salvageable,Enable only if soft mesh is outside view/too weak,Restore inactive and renderer disabled,"Patch mesh can become decal spam",One screenshot; stop if flat decals or stripes
H8_PhoticTerrainCaustics_1453,Terrain caustic mesh/material route,GameObject inactive; static flags set,Deferred feature/receiver candidate,Do not enable until floor receiver passes,Restore inactive,"Needs receiver masks/vertex alpha; active mesh not proof",Terrain receiver screenshot + material mask proof
HectonDeferredCausticsFeature,URP renderer feature,Active in PC/High/Mobile/Quest renderers,Runtime publisher candidate,Verify runtime constant buffer before claiming active caustics,Restore renderer settings if Unity owner changes them,"Feature early-outs without `AbyssalDeferredCausticsRuntime.TryGetActiveConstantBuffer`",Frame Debugger enqueue proof + TryGetActiveConstantBuffer success + GPU timing
AbyssalDeferredCausticsRuntime,Runtime caustic publisher,Code exists; no serialized scene/prefab/data GUID found by Batch22,Requires runtime owner,Enable/create through approved bootstrap/runtime owner only,Remove owner or disable added component,"Cold GameObject creation path exists but ownership/bootstrap proof is missing",Registry ownership + constant buffer double-buffer proof + no GC/profiler proof
CausticsProjectorManager,Legacy caustic projector,Disabled by code per Batch22,Disabled legacy / reject,Do not reactivate,Keep disabled,"Legacy projector risks flat decal spam and duplicate authority",Only use if replaced by approved owner
AnalyticalCausticsService,Legacy analytical service,EnsureRuntimeInstance returns null and Awake disables per Batch22,Disabled legacy / reject,Do not reactivate,Keep disabled,"Legacy shim explicitly points to deferred runtime replacement",No activation
WATER_CAUSTIC_RIB_3 / WATER_CAUSTIC_RIB_1428_10,Authored rib markers,Inactive/renderer disabled,Reject/delete candidate for recovery,Do not enable for photic caustic recovery,Keep inactive/renderer disabled,"Ribs/markers risk debug service-line look",Replacement art proof only
JacobianFoamGpuRuntime,GPU runtime foam owner,Code exists; no scene/prefab/data GUID found by Batch22,Runtime owner candidate / deferred,Use after Crest/material path proof,Remove owner or disable added component,"Requires DataVault, render feature, buffers, profiler proof",Runtime owner proof + GPU timing + no CPU readback
HectonJacobianFoamRenderFeature,GPU foam render feature,Code exists; no renderer serialization found in Batch22,Deferred feature,Do not add until runtime owner path is proven,Remove feature if added,"Feature without owner/material proof can be invisible or waste pass",Frame Debugger + `_H8JacobianFoamTexture` sampling proof
