"evidence_class","source_kind","source_asset","source_line","profile_asset","profile_id","profile_label","section","cue_id","role_code","role_label","tension","weight","volume","clip_guid","ledger_path","ledger_cue_id","duration_sec","load_type","compression","quality","config_field","referenced_guid","referenced_asset_path","referenced_profile_id","direct_ref_context","notes"
"STATIC_SOURCE","CONFIG_PROFILE","Assets/_Project/Data/Audio/Music/Configs/MusicDirectorConfig_Global.asset","24","","","","ConfigProfile","","","ProfileRoute","","","","","","","","","","","_fallbackProfile","6054f072908319f4f85ef9ee8c453e0f","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","music.profile.fallback","","MusicDirector route profile"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","137","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","0d1a03d1d70c9dd448ad1fbab16de520","Assets/_Project/Audio/Underwater Ambient.wav","UNDERWATER_AMBIENT","193","Streaming","Vorbis","0.45","","","","","m_Resource: {fileID: 8300000, guid: 0d1a03d1d70c9dd448ad1fbab16de520, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","239","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","0d1a03d1d70c9dd448ad1fbab16de520","Assets/_Project/Audio/Underwater Ambient.wav","UNDERWATER_AMBIENT","193","Streaming","Vorbis","0.45","","","","","_driverClip: {fileID: 8300000, guid: 0d1a03d1d70c9dd448ad1fbab16de520, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","816","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","f3fed263f13391449b00022b3f15d478","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg","DEFAULT_STEP_GRAVEL_MUD_1","0.375","DecompressOnLoad","ADPCM","0.7","","","","","- {fileID: 8300000, guid: f3fed263f13391449b00022b3f15d478, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","817","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","8844ab71f4eaa804b9e363948cb94daa","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg","DEFAULT_STEP_GRAVEL_MUD_2","0.375","DecompressOnLoad","ADPCM","0.7","","","","","- {fileID: 8300000, guid: 8844ab71f4eaa804b9e363948cb94daa, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","818","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","6119bea1e867b5e46a9d3e075b9f3365","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg","DEFAULT_STEP_GRAVEL_MUD_3","0.375","DecompressOnLoad","ADPCM","0.7","","","","","- {fileID: 8300000, guid: 6119bea1e867b5e46a9d3e075b9f3365, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","819","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","de79afe5eafb5244dbcad6220d54166e","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg","DEFAULT_STEP_GRAVEL_MUD_4","0.375","DecompressOnLoad","ADPCM","0.7","","","","","- {fileID: 8300000, guid: de79afe5eafb5244dbcad6220d54166e, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","825","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","4f6eaa50d86a5034297ba1acff055824","Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav","METAL_STEP_1","0.614","DecompressOnLoad","ADPCM","0.59999996","","","","","- {fileID: 8300000, guid: 4f6eaa50d86a5034297ba1acff055824, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","826","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","0a586c7508fe1184b831895d12d7b22c","Assets/_Project/Audio/Footsteps/Metal/metal step (2).wav","METAL_STEP_2","0.914","DecompressOnLoad","ADPCM","0.59999996","","","","","- {fileID: 8300000, guid: 0a586c7508fe1184b831895d12d7b22c, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","827","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","74eadb62ba935f24fa2a7a85e3a3a3fe","Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav","METAL_STEP_3","0.706","CompressedInMemory","ADPCM","0.59999996","","","","","- {fileID: 8300000, guid: 74eadb62ba935f24fa2a7a85e3a3a3fe, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","828","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","16af121886e02eb46928a26d331751bf","Assets/_Project/Audio/Footsteps/Metal/metal step (4).wav","METAL_STEP_4","0.73","CompressedInMemory","ADPCM","0.59999996","","","","","- {fileID: 8300000, guid: 16af121886e02eb46928a26d331751bf, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","834","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","fc514ddc85e8ef6489bdf78e70417fbf","Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav","SAND_STEP_1","0.44","DecompressOnLoad","ADPCM","0.68","","","","","- {fileID: 8300000, guid: fc514ddc85e8ef6489bdf78e70417fbf, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","835","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","b78173725753a7c41beef13935bdb00c","Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav","SAND_STEP_2","0.517","DecompressOnLoad","ADPCM","0.68","","","","","- {fileID: 8300000, guid: b78173725753a7c41beef13935bdb00c, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","836","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","0a5a5a393c33ed849800be2904ae20b0","Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav","SAND_STEP_3","0.726","DecompressOnLoad","ADPCM","0.68","","","","","- {fileID: 8300000, guid: 0a5a5a393c33ed849800be2904ae20b0, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","837","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","9a583b7a6b1359c40913ecb529a2efa3","Assets/_Project/Audio/Footsteps/Sand/sand step  (4).wav","SAND_STEP_4","0.569","DecompressOnLoad","ADPCM","0.68","","","","","- {fileID: 8300000, guid: 9a583b7a6b1359c40913ecb529a2efa3, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","843","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","48ef994c704d32944bb778971ac37ff2","Assets/_Project/Audio/Footsteps/Rock/rock step (1).wav","ROCK_STEP_1","0.525","DecompressOnLoad","ADPCM","1","","","","","- {fileID: 8300000, guid: 48ef994c704d32944bb778971ac37ff2, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","844","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","33cd15fae82795f4fa51e9ea4ef89f93","Assets/_Project/Audio/Footsteps/Rock/rock step (2).wav","ROCK_STEP_2","0.476","DecompressOnLoad","ADPCM","1","","","","","- {fileID: 8300000, guid: 33cd15fae82795f4fa51e9ea4ef89f93, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","845","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","b8cce0d6fe5092444ac63dd4f87e593b","Assets/_Project/Audio/Footsteps/Rock/rock step (3).wav","ROCK_STEP_3","0.42","DecompressOnLoad","ADPCM","1","","","","","- {fileID: 8300000, guid: b8cce0d6fe5092444ac63dd4f87e593b, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","846","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","26031565b83a3a74982cf01eb298c29b","Assets/_Project/Audio/Footsteps/Rock/rock step (4).wav","ROCK_STEP_4","0.49","DecompressOnLoad","ADPCM","1","","","","","- {fileID: 8300000, guid: 26031565b83a3a74982cf01eb298c29b, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","852","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","1c5c9f764bb4e6246b9d970128f34122","Assets/_Project/Audio/Footsteps/Wet/wet step (1).wav","WET_STEP_1","0.832","DecompressOnLoad","ADPCM","0.65","","","","","- {fileID: 8300000, guid: 1c5c9f764bb4e6246b9d970128f34122, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","853","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","f105edf1739644343a1fda6aa3e6be51","Assets/_Project/Audio/Footsteps/Wet/wet step (2).wav","WET_STEP_2","0.962","CompressedInMemory","ADPCM","0.65","","","","","- {fileID: 8300000, guid: f105edf1739644343a1fda6aa3e6be51, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","854","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","4ec994f577df19141a54d24ac69c18c0","Assets/_Project/Audio/Footsteps/Wet/wet step (3).wav","WET_STEP_3","0.771","DecompressOnLoad","ADPCM","0.65","","","","","- {fileID: 8300000, guid: 4ec994f577df19141a54d24ac69c18c0, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","855","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","9794c77463ff3a843a844a6040768170","Assets/_Project/Audio/Footsteps/Wet/wet step (4).wav","WET_STEP_4","0.984","DecompressOnLoad","ADPCM","0.65","","","","","- {fileID: 8300000, guid: 9794c77463ff3a843a844a6040768170, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","1066","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","15bc31b4390305143a4b7f6a365a5a88","Assets/_Project/Audio/Movement/dive_splash.wav","DIVE_SPLASH","1.729","CompressedInMemory","ADPCM","0.7","","","","","waterEntrySplashClip: {fileID: 8300000, guid: 15bc31b4390305143a4b7f6a365a5a88, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","1067","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","15bc31b4390305143a4b7f6a365a5a88","Assets/_Project/Audio/Movement/dive_splash.wav","DIVE_SPLASH","1.729","CompressedInMemory","ADPCM","0.7","","","","","waterExitSplashClip: {fileID: 8300000, guid: 15bc31b4390305143a4b7f6a365a5a88, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","1612","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","e4cd905e355be6c4eadf8ff9a6b8aff6","Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3","BLOW_UI_SOUND_NOTIF_OR_OPTION","1.44","CompressedInMemory","ADPCM","1","","","","","openSound: {fileID: 8300000, guid: e4cd905e355be6c4eadf8ff9a6b8aff6, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","1613","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","1c435bf08460e9a4eb733ac067520435","Assets/_Project/Audio/UI/electro (nope) sound.flac","ELECTRO_NOPE_SOUND","1.673","DecompressOnLoad","ADPCM","1","","","","","closeSound: {fileID: 8300000, guid: 1c435bf08460e9a4eb733ac067520435, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","1614","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","c1c5616d9797e3440b9ef52131f1c3e0","Assets/_Project/Audio/UI/click sound.wav","CLICK_SOUND","0.172","DecompressOnLoad","ADPCM","1","","","","","tabSwitchSound: {fileID: 8300000, guid: c1c5616d9797e3440b9ef52131f1c3e0, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","DIRECT_PREFAB_AUDIO_REF","Assets/_Project/Prefabs/Player.prefab","1615","","","","PrefabYamlGuid","","","DirectPrefabAudioRef","","","","e4cd905e355be6c4eadf8ff9a6b8aff6","Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3","BLOW_UI_SOUND_NOTIF_OR_OPTION","1.44","CompressedInMemory","ADPCM","1","","","","","lowBatterySound: {fileID: 8300000, guid: e4cd905e355be6c4eadf8ff9a6b8aff6, type: 3}","prefab has direct AudioClip GUID reference under Assets/_Project"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","188","MusicProfile_Abyss","music.profile.abyss","Abyss","CalmBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","7425e2778fc51b7479d751c2041d8989","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shelf.asset","music.profile.shelf","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","190","MusicProfile_Abyss","music.profile.abyss","Abyss","CalmBleedProfiles","","","ProfileBlend","","25","","","","","","","","","","6054f072908319f4f85ef9ee8c453e0f","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","music.profile.fallback","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","193","MusicProfile_Abyss","music.profile.abyss","Abyss","TenseBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","a1a53362b69461a49a59c04b635d606b","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Thermal.asset","music.profile.thermal","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","195","MusicProfile_Abyss","music.profile.abyss","Abyss","TenseBleedProfiles","","","ProfileBlend","","15","","","","","","","","","","f336cbafe44b5ae4bb4d4dc08d358e74","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Combat.asset","music.profile.combat","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","197","MusicProfile_Abyss","music.profile.abyss","Abyss","TenseBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","6054f072908319f4f85ef9ee8c453e0f","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","music.profile.fallback","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Cave.asset","164","MusicProfile_Cave","music.profile.cave","Cave","CalmBleedProfiles","","","ProfileBlend","","8","","","","","","","","","","519c105bce6086e48b69182e2951ca40","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","music.profile.abyss","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Cave.asset","166","MusicProfile_Cave","music.profile.cave","Cave","CalmBleedProfiles","","","ProfileBlend","","6","","","","","","","","","","6054f072908319f4f85ef9ee8c453e0f","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","music.profile.fallback","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Cave.asset","169","MusicProfile_Cave","music.profile.cave","Cave","TenseBleedProfiles","","","ProfileBlend","","8","","","","","","","","","","a1a53362b69461a49a59c04b635d606b","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Thermal.asset","music.profile.thermal","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Cave.asset","171","MusicProfile_Cave","music.profile.cave","Cave","TenseBleedProfiles","","","ProfileBlend","","8","","","","","","","","","","f336cbafe44b5ae4bb4d4dc08d358e74","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Combat.asset","music.profile.combat","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Cave.asset","173","MusicProfile_Cave","music.profile.cave","Cave","TenseBleedProfiles","","","ProfileBlend","","6","","","","","","","","","","6054f072908319f4f85ef9ee8c453e0f","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","music.profile.fallback","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Combat.asset","105","MusicProfile_Combat","music.profile.combat","Combat","TenseBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","519c105bce6086e48b69182e2951ca40","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","music.profile.abyss","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Combat.asset","107","MusicProfile_Combat","music.profile.combat","Combat","TenseBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","a1a53362b69461a49a59c04b635d606b","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Thermal.asset","music.profile.thermal","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Combat.asset","109","MusicProfile_Combat","music.profile.combat","Combat","TenseBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","6054f072908319f4f85ef9ee8c453e0f","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","music.profile.fallback","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","200","MusicProfile_Fallback","music.profile.fallback","Fallback Ambient","CalmBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","5c06f44782ad09b46930905adc0afd58","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shallow.asset","music.profile.shallow","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","202","MusicProfile_Fallback","music.profile.fallback","Fallback Ambient","CalmBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","7425e2778fc51b7479d751c2041d8989","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shelf.asset","music.profile.shelf","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","204","MusicProfile_Fallback","music.profile.fallback","Fallback Ambient","CalmBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","519c105bce6086e48b69182e2951ca40","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","music.profile.abyss","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","207","MusicProfile_Fallback","music.profile.fallback","Fallback Ambient","TenseBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","519c105bce6086e48b69182e2951ca40","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Abyss.asset","music.profile.abyss","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Fallback.asset","209","MusicProfile_Fallback","music.profile.fallback","Fallback Ambient","TenseBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","f336cbafe44b5ae4bb4d4dc08d358e74","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Combat.asset","music.profile.combat","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Prologue.asset","44","MusicProfile_Prologue","music.profile.prologue","Prologue","CalmBleedProfiles","","","ProfileBlend","","20","","","","","","","","","","a000aeb555c4daf43854afbd92c1f90e","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_MainMenu.asset","music.profile.main_menu","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Prologue.asset","46","MusicProfile_Prologue","music.profile.prologue","Prologue","CalmBleedProfiles","","","ProfileBlend","","10","","","","","","","","","","7425e2778fc51b7479d751c2041d8989","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shelf.asset","music.profile.shelf","","foreign profile bleed"
"STATIC_SOURCE","PROFILE_BLEED","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Prologue.asset","49","MusicProfile_Prologue","music.profile.prologue","Prologue","TenseBleedProfiles","","","ProfileBlend","","20","","","","","","","","","","7425e2778fc51b7479d751c2041d8989","Assets/_Project/Data/Audio/Music/Profiles/MusicProfile_Shelf.asset","music.profile.shelf","","foreign profile bleed"
