"path","cue_id","class","duration_sec","load_type","compression","quality","owner","addressable_group","addressable_key","placeholder_flag","route_use","notes"
"Assets/_Project/Audio/Music for Game/cave_ambient_3_Sub-bass Pressure.ogg","CAVE_AMBIENT_3_SUB_BASS_PRESSURE","music","90.36","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_4_Sub-bass Pressure.ogg","CAVE_AMBIENT_4_SUB_BASS_PRESSURE","music","304.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_5_Cavern Click-Scrape.ogg","CAVE_AMBIENT_5_CAVERN_CLICK_SCRAPE","music","171.64","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_6_Vinyl Underwater Ruins.ogg","CAVE_AMBIENT_6_VINYL_UNDERWATER_RUINS","music","260.08","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_7_Vinyl Underwater Ruins (1).ogg","CAVE_AMBIENT_7_VINYL_UNDERWATER_RUINS_1","music","254.4","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_8_Cavern Click-Scrape.ogg","CAVE_AMBIENT_8_CAVERN_CLICK_SCRAPE","music","202.04","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/cave_ambient_9_Volcanic Hiss Anthem.ogg","CAVE_AMBIENT_9_VOLCANIC_HISS_ANTHEM","music","199.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/danger_zatmenie_1_Distant Metallic Groan.ogg","DANGER_ZATMENIE_1_DISTANT_METALLIC_GROAN","music","163.8","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/danger_zatmenie_2_Abandoned Depths.ogg","DANGER_ZATMENIE_2_ABANDONED_DEPTHS","music","479.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/dead_reefs_1_Aquatic Hissdrift.ogg","DEAD_REEFS_1_AQUATIC_HISSDRIFT","music","280.12","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/dead_reefs_2_Aquatic Hissdrift (1).ogg","DEAD_REEFS_2_AQUATIC_HISSDRIFT_1","music","86.6","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/dead_reefs_3_Aquatic Tape Hiss.ogg","DEAD_REEFS_3_AQUATIC_TAPE_HISS","music","260.56","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/dead_reefs_4_Aquatic Tape Hiss (1).ogg","DEAD_REEFS_4_AQUATIC_TAPE_HISS_1","music","244.76","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/dead_reefs_5_The_Sunken_Archway.ogg","DEAD_REEFS_5_THE_SUNKEN_ARCHWAY","music","176.901","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/main_menu_1_Sun_Under_Water.ogg","MAIN_MENU_1_SUN_UNDER_WATER","music","144.849","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/main_menu_2_Beneath_the_Weight_of_Miles.ogg","MAIN_MENU_2_BENEATH_THE_WEIGHT_OF_MILES","music","165.904","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/melkovodie_1_Vinyl Kelp Glow.ogg","MELKOVODIE_1_VINYL_KELP_GLOW","music","296.48","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","shallow/photic MusicDirector candidate","Runtime MusicDirector gating and silence-window proof pending"
"Assets/_Project/Audio/Music for Game/melkovodie_2_The_Weight_of_Blue_Light.ogg","MELKOVODIE_2_THE_WEIGHT_OF_BLUE_LIGHT","music","172.565","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","shallow/photic MusicDirector candidate","Runtime MusicDirector gating and silence-window proof pending"
"Assets/_Project/Audio/Music for Game/melkovodie_3_Underwater Reverbfall.ogg","MELKOVODIE_3_UNDERWATER_REVERBFALL","music","210.48","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/melkovodie_4_Underwater Reverbfall (1).ogg","MELKOVODIE_4_UNDERWATER_REVERBFALL_1","music","227.4","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/melkovodie_5_Prism_in_the_Trench.ogg","MELKOVODIE_5_PRISM_IN_THE_TRENCH","music","111.647","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/melkovodie_6_short30sec_Beneath_the_Glass_Grove.ogg","MELKOVODIE_6_SHORT30SEC_BENEATH_THE_GLASS_GROVE","music","30.694","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","short shallow/photic MusicDirector candidate","Runtime MusicDirector gating and silence-window proof pending"
"Assets/_Project/Audio/Music for Game/prologue_1__Iron_Heavy_Rain.ogg","PROLOGUE_1_IRON_HEAVY_RAIN","music","144.248","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/shelf_1_Abandoned Depths.ogg","SHELF_1_ABANDONED_DEPTHS","music","479.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","first-exit/shallow shelf MusicDirector candidate; not constant bed","Waveform QA loud dense bed; gating/silence-window proof pending"
"Assets/_Project/Audio/Music for Game/shelf_10_Below_the_Hull.ogg","SHELF_10_BELOW_THE_HULL","music","177.006","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/shelf_2_Abandoned Depths (1).ogg","SHELF_2_ABANDONED_DEPTHS_1","music","479.96","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/Shelf_3_Weight_of_the_Water.ogg","SHELF_3_WEIGHT_OF_THE_WATER","music","118.7","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/shelf_4_Abandoned Subfloor Rumble.ogg","SHELF_4_ABANDONED_SUBFLOOR_RUMBLE","music","177.84","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/shelf_5_Abandoned Subfloor Rumble (1).ogg","SHELF_5_ABANDONED_SUBFLOOR_RUMBLE_1","music","217.12","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/shelf_6_Decaying Analog Static.ogg","SHELF_6_DECAYING_ANALOG_STATIC","music","187.48","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/shelf_7_Decaying Analog Static.ogg","SHELF_7_DECAYING_ANALOG_STATIC","music","285.76","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/shelf_8_Deep-Sea Tapeflutter.ogg","SHELF_8_DEEP_SEA_TAPEFLUTTER","music","250.12","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/shelf_9_Deep-Sea Tapeflutter (1).ogg","SHELF_9_DEEP_SEA_TAPEFLUTTER_1","music","259.76","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/stinger_being_saved_1Release_At_Depth.ogg","STINGER_BEING_SAVED_1RELEASE_AT_DEPTH","music","26.88","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/stinger_being_saved_2_Pressure_Gives_Way.ogg","STINGER_BEING_SAVED_2_PRESSURE_GIVES_WAY","music","26.436","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/stinger_being_saved_3_First_Breath_Above.ogg","STINGER_BEING_SAVED_3_FIRST_BREATH_ABOVE","music","26.567","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","first-surface/first-breath stinger candidate","Requires stinger cooldown, mix-priority, and silence-window proof"
"Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg","STINGER_DANGEROUS_1_IRON_TEETH","music","30.093","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","danger/tension stinger candidate","Waveform QA loud dense stinger; cooldown and warning-priority proof pending"
"Assets/_Project/Audio/Music for Game/stinger_dangerous_2Heartbeat_Under_Floorboards.ogg","STINGER_DANGEROUS_2HEARTBEAT_UNDER_FLOORBOARDS","music","30.772","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/stinger_discovery_1_The_Sunken_Gate.ogg","STINGER_DISCOVERY_1_THE_SUNKEN_GATE","music","30.772","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/stinger_discovery_2_The_Sunken_Archive.ogg","STINGER_DISCOVERY_2_THE_SUNKEN_ARCHIVE","music","30.772","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/stinger_discovery_3_The_Sunken_Observatory.ogg","STINGER_DISCOVERY_3_THE_SUNKEN_OBSERVATORY","music","30.772","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/stinger_discovery_4_The_Sunken_Observatory.ogg","STINGER_DISCOVERY_4_THE_SUNKEN_OBSERVATORY","music","30.772","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
"Assets/_Project/Audio/Music for Game/stinger_discovery_5_The_Sunken_Relic.ogg","STINGER_DISCOVERY_5_THE_SUNKEN_RELIC","music","30.772","Streaming","Vorbis","0.7","PENDING_OWNER","PENDING_ADDRESSABLES","PENDING_ADDRESSABLES","false","MusicDirector cue/profile source","Runtime MusicDirector behavior pending"
