"priority","category","asset","evidence","current_route","required_owner","required_action","proof_required","status"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_being_saved_1Release_At_Depth.ogg","Same stinger GUID used 8 times across profiles: Abyss;Base Interior;Cave;Combat;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_being_saved_2_Pressure_Gives_Way.ogg","Same stinger GUID used 8 times across profiles: Abyss;Base Interior;Cave;Combat;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_being_saved_3_First_Breath_Above.ogg","Same stinger GUID used 8 times across profiles: Abyss;Base Interior;Cave;Combat;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_dangerous_1_Iron_Teeth.ogg","Same stinger GUID used 7 times across profiles: Abyss;Cave;Combat;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_dangerous_2Heartbeat_Under_Floorboards.ogg","Same stinger GUID used 7 times across profiles: Abyss;Cave;Combat;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_discovery_1_The_Sunken_Gate.ogg","Same stinger GUID used 6 times across profiles: Abyss;Cave;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_discovery_2_The_Sunken_Archive.ogg","Same stinger GUID used 6 times across profiles: Abyss;Cave;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_discovery_3_The_Sunken_Observatory.ogg","Same stinger GUID used 6 times across profiles: Abyss;Cave;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_discovery_4_The_Sunken_Observatory.ogg","Same stinger GUID used 6 times across profiles: Abyss;Cave;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_discovery_5_The_Sunken_Relic.ogg","Same stinger GUID used 6 times across profiles: Abyss;Cave;Fallback Ambient;Shallow Water;Shelf;Thermal","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","repeated_stinger","Assets/_Project/Audio/Music for Game/stinger_hallucination_1_Beneath_the_Tide.ogg","Same stinger GUID used 3 times across profiles: Abyss;Cave;Fallback Ambient","Repeated MusicDirector stinger reference","MusicDirector tuning owner","Mark reuse intentional or specialize/replace; prove cooldown/cadence","Runtime stinger cooldown capture; listening notes","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (1).ogg","Direct AudioClip ref in Player.prefab line 816","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.375","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (2).ogg","Direct AudioClip ref in Player.prefab line 817","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.375","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (3).ogg","Direct AudioClip ref in Player.prefab line 818","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.375","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Default/default step (gravel - mud) (4).ogg","Direct AudioClip ref in Player.prefab line 819","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.375","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Metal/metal step (1).wav","Direct AudioClip ref in Player.prefab line 825","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.614","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Metal/metal step (2).wav","Direct AudioClip ref in Player.prefab line 826","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.914","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Metal/metal step (3).wav","Direct AudioClip ref in Player.prefab line 827","Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=0.706","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Metal/metal step (4).wav","Direct AudioClip ref in Player.prefab line 828","Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=0.73","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Rock/rock step (1).wav","Direct AudioClip ref in Player.prefab line 843","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.525","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Rock/rock step (2).wav","Direct AudioClip ref in Player.prefab line 844","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.476","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Rock/rock step (3).wav","Direct AudioClip ref in Player.prefab line 845","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.42","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Rock/rock step (4).wav","Direct AudioClip ref in Player.prefab line 846","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.49","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Sand/sand step  (1).wav","Direct AudioClip ref in Player.prefab line 834","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.44","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Sand/sand step  (2).wav","Direct AudioClip ref in Player.prefab line 835","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.517","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Sand/sand step  (3).wav","Direct AudioClip ref in Player.prefab line 836","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.726","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Sand/sand step  (4).wav","Direct AudioClip ref in Player.prefab line 837","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.569","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Wet/wet step (1).wav","Direct AudioClip ref in Player.prefab line 852","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.832","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Wet/wet step (2).wav","Direct AudioClip ref in Player.prefab line 853","Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=0.962","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Wet/wet step (3).wav","Direct AudioClip ref in Player.prefab line 854","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.771","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","short_sfx","Assets/_Project/Audio/Footsteps/Wet/wet step (4).wav","Direct AudioClip ref in Player.prefab line 855","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.984","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","ui_feedback","Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3","Direct AudioClip ref in Player.prefab line 1612","Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=1.44","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","ui_feedback","Assets/_Project/Audio/UI/blow ui sound (notif or option).mp3","Direct AudioClip ref in Player.prefab line 1615","Prefab direct ref; load=CompressedInMemory; compression=ADPCM; duration=1.44","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","ui_feedback","Assets/_Project/Audio/UI/click sound.wav","Direct AudioClip ref in Player.prefab line 1614","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=0.172","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P1","ui_feedback","Assets/_Project/Audio/UI/electro (nope) sound.flac","Direct AudioClip ref in Player.prefab line 1613","Prefab direct ref; load=DecompressOnLoad; compression=ADPCM; duration=1.673","Player/audio lifecycle owner","Classify owner/load/release/playback route; fill Addressables or documented exception","Prefab readback; owner ledger; runtime playback and 0 B/frame proof","PENDING_VERIFICATION"
"P2","import_or_placeholder_risk","Assets/_Project/Audio/Ambient/spaceship sounds - ambient.mp3","Ambient Vorbis quality below Q70 target; load-policy conflict unresolved","class=ambient; load=Streaming; compression=Vorbis; quality=0.45; duration=63.336","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P2","import_or_placeholder_risk","Assets/_Project/Audio/Atmos 1 Loop.wav","Ambient Vorbis quality below Q70 target; waveform QA masking risk","class=ambient; load=Streaming; compression=Vorbis; quality=0.45; duration=128","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P2","import_or_placeholder_risk","Assets/_Project/Audio/Atmos 2 Loop.wav","Ambient Vorbis quality below Q70 target","class=ambient; load=Streaming; compression=Vorbis; quality=0.45; duration=128","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P2","import_or_placeholder_risk","Assets/_Project/Audio/Atmos 2.wav","Ambient Vorbis quality below Q70 target","class=ambient; load=Streaming; compression=Vorbis; quality=0.45; duration=136","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P2","import_or_placeholder_risk","Assets/_Project/Audio/Atmos 3.wav","Ambient Vorbis quality below Q70 target","class=ambient; load=Streaming; compression=Vorbis; quality=0.45; duration=130","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P2","import_or_placeholder_risk","Assets/_Project/Audio/Atmos 5 Loop.wav","Ambient Vorbis quality below Q70 target","class=ambient; load=Streaming; compression=Vorbis; quality=0.45; duration=120","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P2","import_or_placeholder_risk","Assets/_Project/Audio/Atmos 5.wav","Ambient Vorbis quality below Q70 target","class=ambient; load=Streaming; compression=Vorbis; quality=0.45; duration=127","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
"P2","import_or_placeholder_risk","Assets/_Project/Audio/Underwater Ambient.wav","Ambient Vorbis quality below Q70 target; waveform QA late swell needs ducking proof","class=ambient; load=Streaming; compression=Vorbis; quality=0.45; duration=193","Audio import/lifecycle owner","Resolve import policy conflict and route class; no generic streaming SFX","Unity import readback; runtime memory/mix proof","PENDING_VERIFICATION"
