stem,stem_class,batch18_evidence,source_state,atlas_group,required_manifest,required_source_ledger,required_atlas_preview,required_material_channel_qa,required_lod_proxy_note,required_flat_preview,required_final_unity_screenshot,required_compact_screenshot,required_high_ultra_screenshot,required_profiler_capture,static_lane_result,unity_owner_status,rejection_gates,black_box_note
GEN_family_coral_massive__boulder,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_soft_porous_surfaces,MANIFEST_GEN_family_coral_massive__boulder.md,SOURCE_LEDGER_GEN_family_coral_massive__boulder.md,GEN_family_coral_massive__boulder__atlas_preview__static.png,PROOF_GEN_family_coral_massive__boulder_material_channels.md,PROOF_GEN_family_coral_massive__boulder_lod_proxy_note.md,GEN_family_coral_massive__boulder__flat_clay__editor.png,GEN_family_coral_massive__boulder__final_material__normal.png,GEN_family_coral_massive__boulder__final_material__compact.png,GEN_family_coral_massive__boulder__final_material__high_ultra.png,PROFILER_GEN_family_coral_massive__boulder_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"boulder sphere read; no coral pitting; no material proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_massive__buttress,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_soft_porous_surfaces,MANIFEST_GEN_family_coral_massive__buttress.md,SOURCE_LEDGER_GEN_family_coral_massive__buttress.md,GEN_family_coral_massive__buttress__atlas_preview__static.png,PROOF_GEN_family_coral_massive__buttress_material_channels.md,PROOF_GEN_family_coral_massive__buttress_lod_proxy_note.md,GEN_family_coral_massive__buttress__flat_clay__editor.png,GEN_family_coral_massive__buttress__final_material__normal.png,GEN_family_coral_massive__buttress__final_material__compact.png,GEN_family_coral_massive__buttress__final_material__high_ultra.png,PROFILER_GEN_family_coral_massive__buttress_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"buttress lacks growth history; no pore/cavity source; no capture","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_massive__porous,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_soft_porous_surfaces,MANIFEST_GEN_family_coral_massive__porous.md,SOURCE_LEDGER_GEN_family_coral_massive__porous.md,GEN_family_coral_massive__porous__atlas_preview__static.png,PROOF_GEN_family_coral_massive__porous_material_channels.md,PROOF_GEN_family_coral_massive__porous_lod_proxy_note.md,GEN_family_coral_massive__porous__flat_clay__editor.png,GEN_family_coral_massive__porous__final_material__normal.png,GEN_family_coral_massive__porous__final_material__compact.png,GEN_family_coral_massive__porous__final_material__high_ultra.png,PROFILER_GEN_family_coral_massive__porous_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"porous texture without silhouette; no channel QA; no compact proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_plate__canopy,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_plate__canopy.md,SOURCE_LEDGER_GEN_family_coral_plate__canopy.md,GEN_family_coral_plate__canopy__atlas_preview__static.png,PROOF_GEN_family_coral_plate__canopy_material_channels.md,PROOF_GEN_family_coral_plate__canopy_lod_proxy_note.md,GEN_family_coral_plate__canopy__flat_clay__editor.png,GEN_family_coral_plate__canopy__final_material__normal.png,GEN_family_coral_plate__canopy__final_material__compact.png,GEN_family_coral_plate__canopy__final_material__high_ultra.png,PROFILER_GEN_family_coral_plate__canopy_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"flat canopy; no thick rim; no underside AO; overdraw risk","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_plate__shelf,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_plate__shelf.md,SOURCE_LEDGER_GEN_family_coral_plate__shelf.md,GEN_family_coral_plate__shelf__atlas_preview__static.png,PROOF_GEN_family_coral_plate__shelf_material_channels.md,PROOF_GEN_family_coral_plate__shelf_lod_proxy_note.md,GEN_family_coral_plate__shelf__flat_clay__editor.png,GEN_family_coral_plate__shelf__final_material__normal.png,GEN_family_coral_plate__shelf__final_material__compact.png,GEN_family_coral_plate__shelf__final_material__high_ultra.png,PROFILER_GEN_family_coral_plate__shelf_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"shelf with no strata/coral split; no source ledger; no screenshot","Future runtime owner only if a critical runtime flora system is created"
GEN_family_coral_plate__terrace,CORAL,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,coral_hard_calcified_surfaces,MANIFEST_GEN_family_coral_plate__terrace.md,SOURCE_LEDGER_GEN_family_coral_plate__terrace.md,GEN_family_coral_plate__terrace__atlas_preview__static.png,PROOF_GEN_family_coral_plate__terrace_material_channels.md,PROOF_GEN_family_coral_plate__terrace_lod_proxy_note.md,GEN_family_coral_plate__terrace__flat_clay__editor.png,GEN_family_coral_plate__terrace__final_material__normal.png,GEN_family_coral_plate__terrace__final_material__compact.png,GEN_family_coral_plate__terrace__final_material__high_ultra.png,PROFILER_GEN_family_coral_plate__terrace_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"terrace as flat planes; no layered ridge source; no compact proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_canopy__laminaria__s105-165,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_canopy__laminaria__s105-165.md,SOURCE_LEDGER_GEN_family_kelp_canopy__laminaria__s105-165.md,GEN_family_kelp_canopy__laminaria__s105-165__atlas_preview__static.png,PROOF_GEN_family_kelp_canopy__laminaria__s105-165_material_channels.md,PROOF_GEN_family_kelp_canopy__laminaria__s105-165_lod_proxy_note.md,GEN_family_kelp_canopy__laminaria__s105-165__flat_clay__editor.png,GEN_family_kelp_canopy__laminaria__s105-165__final_material__normal.png,GEN_family_kelp_canopy__laminaria__s105-165__final_material__compact.png,GEN_family_kelp_canopy__laminaria__s105-165__final_material__high_ultra.png,PROFILER_GEN_family_kelp_canopy__laminaria__s105-165_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"laminaria as flat ribbons; no edge wear/veins; alpha blend","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_canopy__sheetwall__s150-230,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_canopy__sheetwall__s150-230.md,SOURCE_LEDGER_GEN_family_kelp_canopy__sheetwall__s150-230.md,GEN_family_kelp_canopy__sheetwall__s150-230__atlas_preview__static.png,PROOF_GEN_family_kelp_canopy__sheetwall__s150-230_material_channels.md,PROOF_GEN_family_kelp_canopy__sheetwall__s150-230_lod_proxy_note.md,GEN_family_kelp_canopy__sheetwall__s150-230__flat_clay__editor.png,GEN_family_kelp_canopy__sheetwall__s150-230__final_material__normal.png,GEN_family_kelp_canopy__sheetwall__s150-230__final_material__compact.png,GEN_family_kelp_canopy__sheetwall__s150-230__final_material__high_ultra.png,PROFILER_GEN_family_kelp_canopy__sheetwall__s150-230_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"sheetwall overdraw; no holdfast proof; random curtain placement","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_canopy__tapestry__s160-240,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_canopy__tapestry__s160-240.md,SOURCE_LEDGER_GEN_family_kelp_canopy__tapestry__s160-240.md,GEN_family_kelp_canopy__tapestry__s160-240__atlas_preview__static.png,PROOF_GEN_family_kelp_canopy__tapestry__s160-240_material_channels.md,PROOF_GEN_family_kelp_canopy__tapestry__s160-240_lod_proxy_note.md,GEN_family_kelp_canopy__tapestry__s160-240__flat_clay__editor.png,GEN_family_kelp_canopy__tapestry__s160-240__final_material__normal.png,GEN_family_kelp_canopy__tapestry__s160-240__final_material__compact.png,GEN_family_kelp_canopy__tapestry__s160-240__final_material__high_ultra.png,PROFILER_GEN_family_kelp_canopy__tapestry__s160-240_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"tapestry as alpha wall; no blade fiber; no compact proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_canopy__windrow__s145-230,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_canopy__windrow__s145-230.md,SOURCE_LEDGER_GEN_family_kelp_canopy__windrow__s145-230.md,GEN_family_kelp_canopy__windrow__s145-230__atlas_preview__static.png,PROOF_GEN_family_kelp_canopy__windrow__s145-230_material_channels.md,PROOF_GEN_family_kelp_canopy__windrow__s145-230_lod_proxy_note.md,GEN_family_kelp_canopy__windrow__s145-230__flat_clay__editor.png,GEN_family_kelp_canopy__windrow__s145-230__final_material__normal.png,GEN_family_kelp_canopy__windrow__s145-230__final_material__compact.png,GEN_family_kelp_canopy__windrow__s145-230__final_material__high_ultra.png,PROFILER_GEN_family_kelp_canopy__windrow__s145-230_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"windrow lacks current/source logic; no holdfast; alpha blend","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_patch_dense__frilltuft__s75-125,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_patch_dense__frilltuft__s75-125.md,SOURCE_LEDGER_GEN_family_kelp_patch_dense__frilltuft__s75-125.md,GEN_family_kelp_patch_dense__frilltuft__s75-125__atlas_preview__static.png,PROOF_GEN_family_kelp_patch_dense__frilltuft__s75-125_material_channels.md,PROOF_GEN_family_kelp_patch_dense__frilltuft__s75-125_lod_proxy_note.md,GEN_family_kelp_patch_dense__frilltuft__s75-125__flat_clay__editor.png,GEN_family_kelp_patch_dense__frilltuft__s75-125__final_material__normal.png,GEN_family_kelp_patch_dense__frilltuft__s75-125__final_material__compact.png,GEN_family_kelp_patch_dense__frilltuft__s75-125__final_material__high_ultra.png,PROFILER_GEN_family_kelp_patch_dense__frilltuft__s75-125_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"frilltuft as generic fronds; no vein/edge source; alpha blend","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_patch_dense__patch,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_patch_dense__patch.md,SOURCE_LEDGER_GEN_family_kelp_patch_dense__patch.md,GEN_family_kelp_patch_dense__patch__atlas_preview__static.png,PROOF_GEN_family_kelp_patch_dense__patch_material_channels.md,PROOF_GEN_family_kelp_patch_dense__patch_lod_proxy_note.md,GEN_family_kelp_patch_dense__patch__flat_clay__editor.png,GEN_family_kelp_patch_dense__patch__final_material__normal.png,GEN_family_kelp_patch_dense__patch__final_material__compact.png,GEN_family_kelp_patch_dense__patch__final_material__high_ultra.png,PROFILER_GEN_family_kelp_patch_dense__patch_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"random patch scatter; no holdfast; alpha dense field; no compact proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_patch_dense__patch_tall,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_patch_dense__patch_tall.md,SOURCE_LEDGER_GEN_family_kelp_patch_dense__patch_tall.md,GEN_family_kelp_patch_dense__patch_tall__atlas_preview__static.png,PROOF_GEN_family_kelp_patch_dense__patch_tall_material_channels.md,PROOF_GEN_family_kelp_patch_dense__patch_tall_lod_proxy_note.md,GEN_family_kelp_patch_dense__patch_tall__flat_clay__editor.png,GEN_family_kelp_patch_dense__patch_tall__final_material__normal.png,GEN_family_kelp_patch_dense__patch_tall__final_material__compact.png,GEN_family_kelp_patch_dense__patch_tall__final_material__high_ultra.png,PROFILER_GEN_family_kelp_patch_dense__patch_tall_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"patch tall as vertical planes; no stipe/holdfast proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_tall__colossus__s160-240,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_tall__colossus__s160-240.md,SOURCE_LEDGER_GEN_family_kelp_tall__colossus__s160-240.md,GEN_family_kelp_tall__colossus__s160-240__atlas_preview__static.png,PROOF_GEN_family_kelp_tall__colossus__s160-240_material_channels.md,PROOF_GEN_family_kelp_tall__colossus__s160-240_lod_proxy_note.md,GEN_family_kelp_tall__colossus__s160-240__flat_clay__editor.png,GEN_family_kelp_tall__colossus__s160-240__final_material__normal.png,GEN_family_kelp_tall__colossus__s160-240__final_material__compact.png,GEN_family_kelp_tall__colossus__s160-240__final_material__high_ultra.png,PROFILER_GEN_family_kelp_tall__colossus__s160-240_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"colossus lacks silhouette proof; no current direction; no compact route proof","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_tall__seedling__s55-90,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_tall__seedling__s55-90.md,SOURCE_LEDGER_GEN_family_kelp_tall__seedling__s55-90.md,GEN_family_kelp_tall__seedling__s55-90__atlas_preview__static.png,PROOF_GEN_family_kelp_tall__seedling__s55-90_material_channels.md,PROOF_GEN_family_kelp_tall__seedling__s55-90_lod_proxy_note.md,GEN_family_kelp_tall__seedling__s55-90__flat_clay__editor.png,GEN_family_kelp_tall__seedling__s55-90__final_material__normal.png,GEN_family_kelp_tall__seedling__s55-90__final_material__compact.png,GEN_family_kelp_tall__seedling__s55-90__final_material__high_ultra.png,PROFILER_GEN_family_kelp_tall__seedling__s55-90_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"seedling as simple ribbon; no root pad; no blade vein source","Future runtime owner only if a critical runtime flora system is created"
GEN_family_kelp_tall__tower__s130-185,KELP,"Batch18 first priority proof set",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_family_kelp_tall__tower__s130-185.md,SOURCE_LEDGER_GEN_family_kelp_tall__tower__s130-185.md,GEN_family_kelp_tall__tower__s130-185__atlas_preview__static.png,PROOF_GEN_family_kelp_tall__tower__s130-185_material_channels.md,PROOF_GEN_family_kelp_tall__tower__s130-185_lod_proxy_note.md,GEN_family_kelp_tall__tower__s130-185__flat_clay__editor.png,GEN_family_kelp_tall__tower__s130-185__final_material__normal.png,GEN_family_kelp_tall__tower__s130-185__final_material__compact.png,GEN_family_kelp_tall__tower__s130-185__final_material__high_ultra.png,PROFILER_GEN_family_kelp_tall__tower__s130-185_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"tower as primitive vertical form; no holdfast/current proof","Future runtime owner only if a critical runtime flora system is created"
GEN_Shallows_Kelp_000_Flora_5A110101,KELP,"Batch18 BioForge shallow source sample",SOURCE_PRESENT_STATIC,kelp_blade_fiber_surfaces,MANIFEST_GEN_Shallows_Kelp_000_Flora_5A110101.md,SOURCE_LEDGER_GEN_Shallows_Kelp_000_Flora_5A110101.md,GEN_Shallows_Kelp_000_Flora_5A110101__atlas_preview__static.png,PROOF_GEN_Shallows_Kelp_000_Flora_5A110101_material_channels.md,PROOF_GEN_Shallows_Kelp_000_Flora_5A110101_lod_proxy_note.md,GEN_Shallows_Kelp_000_Flora_5A110101__flat_clay__editor.png,GEN_Shallows_Kelp_000_Flora_5A110101__final_material__normal.png,GEN_Shallows_Kelp_000_Flora_5A110101__final_material__compact.png,GEN_Shallows_Kelp_000_Flora_5A110101__final_material__high_ultra.png,PROFILER_GEN_Shallows_Kelp_000_Flora_5A110101_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"source-only package; no accepted prefab proof; no visual proof","Future runtime owner only if a critical runtime flora system is created"
GEN_Shallows_TubeCoral_000_Flora_5A110001,CORAL,"Batch18 BioForge shallow source sample",SOURCE_PRESENT_STATIC,coral_soft_porous_surfaces,MANIFEST_GEN_Shallows_TubeCoral_000_Flora_5A110001.md,SOURCE_LEDGER_GEN_Shallows_TubeCoral_000_Flora_5A110001.md,GEN_Shallows_TubeCoral_000_Flora_5A110001__atlas_preview__static.png,PROOF_GEN_Shallows_TubeCoral_000_Flora_5A110001_material_channels.md,PROOF_GEN_Shallows_TubeCoral_000_Flora_5A110001_lod_proxy_note.md,GEN_Shallows_TubeCoral_000_Flora_5A110001__flat_clay__editor.png,GEN_Shallows_TubeCoral_000_Flora_5A110001__final_material__normal.png,GEN_Shallows_TubeCoral_000_Flora_5A110001__final_material__compact.png,GEN_Shallows_TubeCoral_000_Flora_5A110001__final_material__high_ultra.png,PROFILER_GEN_Shallows_TubeCoral_000_Flora_5A110001_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"source-only package; tube primitives; no pore/cavity material QA","Future runtime owner only if a critical runtime flora system is created"
GEN_Shallows_PorousRock_000_Rock_ABFE290C,GEOLOGY_SUPPORT,"Batch18 BioForge shallow source sample",SOURCE_PRESENT_STATIC,shallow_rubble_geology_support,MANIFEST_GEN_Shallows_PorousRock_000_Rock_ABFE290C.md,SOURCE_LEDGER_GEN_Shallows_PorousRock_000_Rock_ABFE290C.md,GEN_Shallows_PorousRock_000_Rock_ABFE290C__atlas_preview__static.png,PROOF_GEN_Shallows_PorousRock_000_Rock_ABFE290C_material_channels.md,PROOF_GEN_Shallows_PorousRock_000_Rock_ABFE290C_lod_proxy_note.md,GEN_Shallows_PorousRock_000_Rock_ABFE290C__flat_clay__editor.png,GEN_Shallows_PorousRock_000_Rock_ABFE290C__final_material__normal.png,GEN_Shallows_PorousRock_000_Rock_ABFE290C__final_material__compact.png,GEN_Shallows_PorousRock_000_Rock_ABFE290C__final_material__high_ultra.png,PROFILER_GEN_Shallows_PorousRock_000_Rock_ABFE290C_capture.data,STATIC SOURCE/PREP only,PENDING UNITY OWNER,"source-only package; collider safety not proven; smooth porous blob risk","Future runtime owner only if a critical runtime geology/terrain system is created"
