priority,owner_type,domain,item,evidence_path,required_action,forbidden_action,proof_required,dependency_status
P0,SOURCE_OPERATOR,PRODUCT_FACE,Tool/resource/player material source packages,Docs/Reports/Batch18/1893_PRODUCT_FACE_ACTUAL_MATERIAL_ASSIGNMENT_MATRIX.md,"Author project-owned albedo, normal, packed masks for tools, resources, player suit body, glass/rubber/metal roles","Do not use placeholders, flat shells, package Lit, terrain/ocean/sky donors, or visor route outside visor scope","ProductFace source manifest rows and QA previews",Independent
P0,PBR_QA,PBR_CHANNELS,ProductFace packed channel contract lock,Docs/Reports/Batch18/1888_PRODUCT_FACE_TEXTURE_CHANNEL_MANIFEST.csv,"Resolve blocked channel contracts before any import or relink","Do not infer channel meaning from ARM, ORM, MRAO, Mask, or Packed names","Per-family shader/channel contract and import validation",Independent
P1,MATERIAL_ASSIGNMENT_OWNER,PBR_CHANNELS,AITexture ProductFace import/relink containment,Docs/Reports/Batch18/1891_AITEXTURE_PRODUCT_FACE_HARDENING_PACKET.md,"Implement ProductFace-specific import manifest and relink dry-run owner in a scoped future task","Do not extend generic ai_texture_prefab_bindings.csv for ProductFace prefab writes","Validator rejecting wildcard/broad/generic binding and wrong channels",Independent
P1,SOURCE_OPERATOR,TERRAIN_COASTLINE,Terrain basalt/sediment control maps,Docs/Reports/Batch18/1821_SHORELINE_WATERLINE_OFFLINE_BAKE_SPEC.md,"Bake or source terrain control/splat/normal/mask set for shoreline terrain material","Do not claim terrain material quality while slots are empty","Texture role report and terrain material preview",Independent; can consume 1907 prompts if useful
P1,SCENE_VISUAL_OWNER,SKY_OCEAN_AEGIR_MOON,Surface ocean material tuning,Docs/Screenshots/1428_gameview_h8_crest_material_pass18.png,"Prove ocean color/specular/foam/refraction without neon flat plane or hard ribbons","Do not mutate Crest package material or use package material proof as first-party closure","Current ocean surface/waterline screenshots plus Frame Debugger/profiler if route changes",Requires Unity slot
P1,UNITY_IMPORT_OWNER,SKY_OCEAN_AEGIR_MOON,Crest hidden Sargassum inputs,Docs/Reports/Batch18/1883_SKY_OCEAN_MATERIAL_TEXTURE_ROLE_PACKAGE.md,"Prove hidden input carriers are invisible before player-visible frames or relink/remove them","Do not allow primitive input planes to appear in player capture","Frame Debugger hidden-state proof and startup capture",Requires Unity slot
P1,SOURCE_OPERATOR,SKY_OCEAN_AEGIR_MOON,Sargassum micro-fauna primitive mesh replacement,Docs/Reports/Batch18/1883_SKY_OCEAN_MATERIAL_TEXTURE_ROLE_PACKAGE.md,"Author non-primitive micro-fauna mesh/VAT/impostor package","Do not ship built-in plane mesh with null VAT textures as final fauna","Mesh/VAT source package, route capture, profiler proof if runtime route active",Independent
P1,CONTROLLER_REVIEW,PROOF_ARTIFACTS,GeneratedAssets proof folder policy,Docs/Reports/Batch18/1901_SHALLOW_PROOF_ARTIFACT_PRIORITY_RUNBOOK.md,"Open proof folders only when real named proof files are produced by proof owner","Do not create empty proof bureaucracy or mark missing folders as failure by themselves","Named proof files with full asset stems",Independent
P1,PROFILER_OWNER,PROOF_ARTIFACTS,Future visual route runtime cost proof,Docs/Reports/Batch18/1901_SHALLOW_PROOF_ARTIFACT_PRIORITY_RUNBOOK.md,"Profile any changed water, foam, material, instancing, VFX, scatter, or render pass route","Do not report microseconds, GC, Frame Debugger, or VRAM state from static reports","Profiler/GC/Frame Debugger/memory artifacts tied to exact scene and tier",Depends on Unity visual changes
P1,SCENE_VISUAL_OWNER,PRODUCT_FACE,Product-face close capture set,Docs/Reports/Batch18/1893_PRODUCT_FACE_ACTUAL_MATERIAL_ASSIGNMENT_MATRIX.md,"Capture player/tools/resources/transport close-ups after relink to prove material identity","Do not accept material assignment from YAML alone","Current close screenshots, material debug/channel preview if available",Depends on source/PBR/relink owners
P2,SOURCE_OPERATOR,PROOF_ARTIFACTS,Gemini source prompt execution,Docs/Reports/Batch19/1905_GEMINI_TEXTURE_SOURCE_LEDGER.md,"Run prompt packs through an image-capable operator only when tooling exists; QA outputs before import","Do not treat prompt rows as image sources or PBR-ready maps","Generated images, rejected-candidate list, 2x2 tile QA",Optional; can consume 1905/1907 prompts
P2,CONTROLLER_REVIEW,PROOF_ARTIFACTS,False closure audit,Docs/Reports/Batch19/1909_STATIC_VISUAL_DEBT_AUDIT_PROOF_MATRIX.md,"Reject future reports that upgrade static path/text/source to runtime proof","Do not accept static manifest equals visual proof or old screenshot equals current pass","Review checklist against evidence labels",Independent
