line,name,active,renderer_enabled,layer,pos,scale,mesh,material_guids
13732,NOIR_CYAN_INSTRUMENT_TICK_01,1,1,0,"x: -4, y: 1.04, z: -0.67999995","x: 0.22, y: 0.035, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,c38c3d211bac5774c9fd2c154e5df074
21653,NOIR_ABYSS_PRESSURE_TOOTH_03,1,1,0,"x: -3.2000003, y: 4.225, z: 10.6","x: 0.48000002, y: 6.45, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
23456,NOIR_ABYSS_PRESSURE_TOOTH_04,1,1,0,"x: 0.39999962, y: 2.5, z: 11.8","x: 0.3, y: 3, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
24639,NOIR_ABYSS_PRESSURE_TOOTH_08,1,1,0,"x: 14.799999, y: 2.5, z: 13","x: 0.3, y: 3, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
31689,NOIR_CYAN_INSTRUMENT_TICK_03,1,1,0,"x: -0.79999983, y: 1.04, z: -0.67999995","x: 0.22, y: 0.035, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,0a4e58601d1f8cc4a912039e8de97a8d
33689,NOIR_ABYSS_PRESSURE_TOOTH_06,1,1,0,"x: 7.5999994, y: 3.65, z: 10.6","x: 0.3, y: 5.3, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
37272,NOIR_ABYSS_PRESSURE_TOOTH_02,1,1,0,"x: -6.8, y: 3.65, z: 13","x: 0.3, y: 5.3, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
39602,NOIR_ABYSS_PRESSURE_TOOTH_01,1,1,0,"x: -10.4, y: 3.075, z: 11.8","x: 0.48000002, y: 4.15, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
40777,NOIR_CYAN_INSTRUMENT_TICK_02,1,1,0,"x: -2.3999999, y: 1.04, z: -0.9","x: 0.22, y: 0.035, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,c38c3d211bac5774c9fd2c154e5df074
45813,NOIR_CYAN_INSTRUMENT_TICK_05,1,1,0,"x: 2.4, y: 1.04, z: -0.67999995","x: 0.22, y: 0.035, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,c38c3d211bac5774c9fd2c154e5df074
49068,NOIR_CYAN_INSTRUMENT_TICK_00,1,1,0,"x: -5.6, y: 1.04, z: -0.9","x: 0.22, y: 0.035, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,0a4e58601d1f8cc4a912039e8de97a8d
63023,NOIR_ABYSS_PRESSURE_TOOTH_05,1,1,0,"x: 3.9999995, y: 3.075, z: 13","x: 0.48000002, y: 4.15, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
63563,NOIR_ABYSS_PRESSURE_TOOTH_07,1,1,0,"x: 11.199999, y: 4.225, z: 11.8","x: 0.48000002, y: 6.45, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
67442,NOIR_CYAN_INSTRUMENT_TICK_06,1,1,0,"x: 4, y: 1.04, z: -0.9","x: 0.22, y: 0.035, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,0a4e58601d1f8cc4a912039e8de97a8d
71998,NOIR_CYAN_INSTRUMENT_TICK_07,1,1,0,"x: 5.6000004, y: 1.04, z: -0.67999995","x: 0.22, y: 0.035, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,c38c3d211bac5774c9fd2c154e5df074
90032,NOIR_ABYSS_PRESSURE_TOOTH_00,1,1,0,"x: -14, y: 2.5, z: 10.6","x: 0.3, y: 3, z: 0.7",fileID 10202 guid 0000000000000000e000000000000000 type 0,b9e8da6f36ed4d9459efa10020f3397d
28769,H8_BrokenShoreFoam_Inner_1434,1,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid effd2a6d3ce064c4abb8c64d16ef5aff type 2,ed4c3c1a98a456a42bff71c47f6cb7ca
36535,H8_PHOTIC_BASALT_WALL_RIGHT_1428,1,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid f9abdacd73ad86243997ee7765d6591e type 2,b2c9517dc0af524479d8b317ea06785e
44681,H8_PHOTIC_SOFT_WATER_HAZE_1430,1,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid ea57aa247aec59942a2140f2313917fe type 2,351284047363d6d4fbaa30aaad4d7a4b
47508,H8_BrokenShoreFoam_Outer_1434,1,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 6fcf15a92bb7eaa4a8724e8ecc293e27 type 2,ed4c3c1a98a456a42bff71c47f6cb7ca
60203,H8_SHORELINE_FOAM_RING_ASSET_1428,1,1,0,"x: 25, y: 14.092, z: 58","x: 1.02, y: 1, z: 1.16",fileID 4300000 guid e1054725609b6a3479a8f529c5fd077f type 2,c2f28f69db0ba9144a66957ca3a6de69
60473,H8_PHOTIC_BASALT_WALL_LEFT_1428,1,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 8945848641bc5ff43bbce2b5a5bbdfd6 type 2,b2c9517dc0af524479d8b317ea06785e
77069,H8_BrokenShoreFoam_1439,1,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 4c547cc122653bd4182b3e45a11a053d type 2,1f169d657cfa17140aad2fa7aa349443
79593,H8_ShorelineBasaltDetail_1464,1,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 85e3b459e454da84685a2be46a998bec type 2,4dbf79cd28d2df64fb0fb6dcca948a23
30047,Water_Mass_Far_1428,0,1,0,"x: 8, y: 12, z: 118","x: 150, y: 34, z: 0.25",fileID 10202 guid 0000000000000000e000000000000000 type 0,95664054d4042ea43bc56a9827905e5b
56819,Water_Mass_Mid_1428,0,1,0,"x: 0, y: 10, z: 58","x: 135, y: 28, z: 0.25",fileID 10202 guid 0000000000000000e000000000000000 type 0,95664054d4042ea43bc56a9827905e5b
75460,H8_DEPTH_MASS_BACKDROP_1428,0,1,0,"x: 0, y: 7.8, z: 58","x: 95, y: 16, z: 0.5",fileID 10202 guid 0000000000000000e000000000000000 type 0,f3e2d325400cdbb408f84e6acc9de027
6878,DOCK_MAIN_DECK,1,0,0,"x: -0.6, y: 0.32, z: 0.6","x: 12.2, y: 0.3, z: 7.2",fileID 10202 guid 0000000000000000e000000000000000 type 0,b12b393db70671b4986f21942c459e07
12939,ABYSS_BASALT_CAP_SIGNAL_1428_5,1,0,0,"x: 2.2, y: 5.38, z: 22.869999","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,34dda17bcc29a4f46bf559502c368326
14689,H8_WORLD_FOREGROUND_DOCK_RIB_A_1428,1,0,0,"x: -3.4, y: 0.74, z: -2.2","x: 0.12, y: 0.22, z: 9.5",fileID 10202 guid 0000000000000000e000000000000000 type 0,09da3dc87b1df5945a9996378de36940
15460,ABYSS_BASALT_CAP_SIGNAL_1428_1,1,0,0,"x: -12.4, y: 3.28, z: 20.67","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,34dda17bcc29a4f46bf559502c368326
18769,ABYSS_BASALT_SILHOUETTE_1428_2,1,0,0,"x: -9.1, y: 2.5, z: 22.9","x: 0.55, y: 6.6, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
19590,ABYSS_BASALT_SILHOUETTE_1428_6,1,0,0,"x: 7.6, y: 2.3, z: 18.5","x: 0.55, y: 6.2, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
27155,ABYSS_BASALT_SILHOUETTE_1428_8,1,0,0,"x: 15.8, y: 2.75, z: 22.9","x: 0.55, y: 7.1, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
30137,ABYSS_BASALT_SILHOUETTE_1428_7,1,0,0,"x: 11.4, y: 1.6500001, z: 20.7","x: 0.67, y: 4.9, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
33869,DOCK_FOREGROUND_BLACK_RIB_1428_L,1,0,0,"x: -5.9, y: 0.88, z: -3.25","x: 0.12, y: 0.92, z: 5.4",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
35043,ABYSS_BASALT_CAP_SIGNAL_1428_3,1,0,0,"x: -6.2, y: 3.8799999, z: 18.47","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,0a30a5ad64a320c4381a555bffb5277f
36087,ABYSS_BASALT_SILHOUETTE_1428_4,1,0,0,"x: -1.8, y: 2.9, z: 20.7","x: 0.55, y: 7.4, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
40978,H8_WORLD_FOREGROUND_DOCK_RIB_B_1428,1,0,0,"x: 4.8, y: 0.74, z: -0.7","x: 0.12, y: 0.22, z: 8.2",fileID 10202 guid 0000000000000000e000000000000000 type 0,09da3dc87b1df5945a9996378de36940
41068,ABYSS_BASALT_CAP_SIGNAL_1428_6,1,0,0,"x: 7.6, y: 5.98, z: 18.47","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,0a30a5ad64a320c4381a555bffb5277f
48553,DOCK_FOREGROUND_BLACK_RIB_1428_R,1,0,0,"x: 5.1, y: 0.88, z: -3.25","x: 0.12, y: 0.92, z: 5.4",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
57636,ABYSS_BASALT_SILHOUETTE_1428_5,1,0,0,"x: 2.2, y: 2, z: 22.9","x: 0.67, y: 5.6, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
57726,ABYSS_BASALT_SILHOUETTE_1428_3,1,0,0,"x: -6.2, y: 1.25, z: 18.5","x: 0.67, y: 4.1, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
60293,ABYSS_BASALT_CAP_SIGNAL_1428_4,1,0,0,"x: -1.8, y: 7.1800003, z: 20.67","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,34dda17bcc29a4f46bf559502c368326
61361,ABYSS_BASALT_CAP_SIGNAL_1428_0,1,0,0,"x: -15.5, y: 4.5800004, z: 18.47","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,0a30a5ad64a320c4381a555bffb5277f
62555,ABYSS_BASALT_SILHOUETTE_1428_0,1,0,0,"x: -15.5, y: 1.6000001, z: 18.5","x: 0.55, y: 4.8, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
73709,ABYSS_BASALT_CAP_SIGNAL_1428_7,1,0,0,"x: 11.4, y: 4.6800003, z: 20.67","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,34dda17bcc29a4f46bf559502c368326
77159,ABYSS_BASALT_CAP_SIGNAL_1428_8,1,0,0,"x: 15.8, y: 6.88, z: 22.869999","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,34dda17bcc29a4f46bf559502c368326
96664,ABYSS_BASALT_SILHOUETTE_1428_1,1,0,0,"x: -12.4, y: 0.95, z: 20.7","x: 0.67, y: 3.5, z: 0.55",fileID 10202 guid 0000000000000000e000000000000000 type 0,3750808f48af94949b25c58c57c6bc7e
100401,ABYSS_BASALT_CAP_SIGNAL_1428_2,1,0,0,"x: -9.1, y: 6.38, z: 22.869999","x: 0.32, y: 0.055, z: 0.32",fileID 10202 guid 0000000000000000e000000000000000 type 0,34dda17bcc29a4f46bf559502c368326
6580,H8_SURFACE_LITTORAL_SHALLOW_SHELF_1430,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 47b9b9c0227e3b342a9eec81e6547972 type 2,8af264cdc665d554e8d1e7f9f09c0e6d
22531,H8_PHOTIC_CORAL_MASS_FIELD_1430,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 72a2c7dbf848a3644b8e2bdb9a218535 type 2,a688ea3cea12e9446854797cf70f1d8b
42969,H8_PHOTIC_VOLUME_HAZE_CURTAINS_1429,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 44d0a98a585aee547909f2b8eb2a0468 type 2,1f7523193da9f2f429edc097aa8324c1
55518,H8_PHOTIC_CEILING_CAUSTIC_RIBBONS_1429,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 99c9ee982a0076947aff00d24e26692b type 2,1c9579f717fa1874c9c2288bec3ee854
3095,H8_OFFSHORE_FOAM_BREAK_1428_0,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid d9bcc4f9a0902f244991defe275b8894 type 2,9cc31b603f32b5441ac781d8f5d26e89
11466,H8_SHORE_ORGANIC_FOAM_1428_4,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid b1e73778dd2d6d6438e9e297801a95db type 2,9cc31b603f32b5441ac781d8f5d26e89
12042,H8_SURFACE_FOAM_REBUILD_PASS_1432,1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
13475,'[H8_WORLD_SHELL_1428]',1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
19317,H8_WATER_SURFACE_REEF_PASS_1447,1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
20115,H8_SHORE_ORGANIC_FOAM_1428_3,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid a96b841b3892ce748aa912727ed633f2 type 2,9cc31b603f32b5441ac781d8f5d26e89
24729,ISLAND_NEAR_BLACKBASALT_1428,1,0,0,"x: 32, y: 13.13, z: 51","x: 1.04, y: 0.86, z: 1.08",fileID 4300000 guid 909d466e804201448a33fe08d1726385 type 2,c172e96a14806ee4f9a82c0b2ee8ffd1
38377,H8_CREST_FOAM_INPUT_PASS_1464,1,0,4,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid b6cc00cb543bf65448e52a129f6e531e type 2,2e3b1edbfc811f74d8f8af3317d6c105
43463,H8_OFFSHORE_FOAM_BREAK_1428_2,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 096e8fe0418660d418338119c676b835 type 2,9cc31b603f32b5441ac781d8f5d26e89
43553,H8_WATER_FLORA_TERRAIN_PASS_1446,1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
44620,H8_WATER_TERRAIN_MATERIAL_PASS_1453,1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
50772,H8_SHORE_ORGANIC_FOAM_1428_1,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 6ef2b1fabc072744bb309d7a4e71bc6c type 2,9cc31b603f32b5441ac781d8f5d26e89
52152,H8_SHELL_MOON_SHAFT,1,no_renderer,0,"x: -16, y: 22, z: -12","x: 1, y: 1, z: 1",,
54968,Ocean_AbyssRibbon,1,no_renderer,0,"x: -180, y: 3918.55, z: 160","x: 1, y: 1, z: 1",,
56999,H8_OFFSHORE_FOAM_BREAK_1428_3,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 076c51f80d4663c4fbe8c492620d534e type 2,9cc31b603f32b5441ac781d8f5d26e89
59605,H8_FOAM_HAZE_FLORA_PASS_1437,1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
60653,H8_WORLD_TERRAIN_SHELL_1428,1,no_renderer,0,"x: -60, y: -8, z: -4","x: 1, y: 1, z: 1",,
60746,H8_ORGANIC_SURFACE_FOAM_STRIPS_1434,1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
66268,H8_WATER_REEF_POLISH_PASS_1436,1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
66396,H8_OFFSHORE_FOAM_BREAK_1428_1,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 835f9e988df6dcb478b4e0cea3d4a546 type 2,9cc31b603f32b5441ac781d8f5d26e89
72202,H8_WORLD_SHELL_TITLE,1,0,0,,,,eee8f454c9e5b0c49afb5f180b1310ef
72975,H8_WATER_SURFACE_CAUSTIC_PASS_1443,1,no_renderer,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",,
74460,H8_SHORE_ORGANIC_FOAM_1428_2,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 3f51730a38924664ab2181e05c485c81 type 2,9cc31b603f32b5441ac781d8f5d26e89
77606,H8_SHORE_ORGANIC_FOAM_1428_0,1,0,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 053d70111881a2546a4d64f922596753 type 2,9cc31b603f32b5441ac781d8f5d26e89
78757,H8_SHELL_CYAN_BEACON_LIGHT,1,no_renderer,0,"x: -5.6, y: 2.4, z: -0.7","x: 1, y: 1, z: 1",,
93067,H8_SHELL_AMBER_DOCK_LIGHT,1,no_renderer,0,"x: 5.6, y: 2.5, z: 2.2","x: 1, y: 1, z: 1",,
4071,H8_HeroWetBasaltBoulder_1453_01,0,1,0,"x: -5, y: 9.386388, z: 63","x: 2.9639997, y: 1.288, z: 2.106",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
4251,NOIR_FAR_WATER_CURTAIN_A,0,0,0,"x: 11, y: 5, z: 5.5","x: 0.35, y: 8, z: 32",fileID 10202 guid 0000000000000000e000000000000000 type 0,bd23e7e7d49570845b20cc49c7de5ded
7462,H8_HeroWetBasaltBoulder_1453_09,0,1,0,"x: 17, y: 8.144982, z: 123","x: 3.042, y: 1.288, z: 2.262",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
7670,H8_PhoticKelpRibbons_UnderwaterOnly_1464,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 6976b95d0fb649e438f9f530cc6b313b type 2,c8e5e71b48fbc4c40b1051f6c5e55556
16246,H8_PHOTIC_BASALT_BOULDER_1428_8,0,1,0,"x: 47, y: 8.249757, z: 104","x: 2.479297, y: 1.6, z: 1.7492188",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
18344,H8_HeroWetBasaltBoulder_1453_07,0,1,0,"x: 56, y: 13.466597, z: 113","x: 3.744, y: 1.5640001, z: 2.652",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
28381,H8_HeroWetBasaltBoulder_1453_05,0,1,0,"x: 9, y: 8.404206, z: 91","x: 2.4179997, y: 1.1040001, z: 1.872",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
32249,H8_HeroWetBasaltBoulder_1453_04,0,1,0,"x: -14, y: 10.300982, z: 83","x: 3.12, y: 1.38, z: 2.262",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
36177,H8_HeroWetBasaltBoulder_1453_06,0,1,0,"x: 37, y: 8.670127, z: 100","x: 4.0559998, y: 1.748, z: 2.8079998",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
37182,H8_PHOTIC_BASALT_BOULDER_1428_3,0,1,0,"x: 53, y: 8.442948, z: 72","x: 2.598828, y: 1.5973634, z: 2.083203",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
37362,H8_SURFACE_ORGANIC_FOAM_RING_1432,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 2bcbb6a9fb9abde4c9721e7d01ac73b8 type 2,ed4c3c1a98a456a42bff71c47f6cb7ca
44191,ABYSS_LOW_MIST_OCCLUSION_1428,0,0,0,"x: 0, y: 1.05, z: 13.8","x: 44, y: 0.45, z: 0.28",fileID 10202 guid 0000000000000000e000000000000000 type 0,b4d029c89a2e90647943a5c386791387
44861,H8_HeroWetBasaltBoulder_1453_00,0,1,0,"x: -18, y: 12.102282, z: 54","x: 3.9779997, y: 1.748, z: 2.886",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
45633,ABYSS_BLACKWATER_CEILING_1428,0,0,0,"x: 0, y: 7.6, z: 7","x: 42, y: 0.2, z: 35",fileID 10202 guid 0000000000000000e000000000000000 type 0,98f2885f10ec6c24086d7171652bb920
52706,H8_PHOTIC_BASALT_BOULDER_1428_7,0,1,0,"x: 22, y: 7.3824244, z: 101","x: 2.0046875, y: 1.21875, z: 1.4189453",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
53221,ABYSS_SURFACE_CEILING,0,0,0,"x: 2, y: 7.3, z: 37","x: 92, y: 0.055, z: 42",fileID 10202 guid 0000000000000000e000000000000000 type 0,00700b17a11ab3e468e638e72143efbd
57276,H8_HeroWetBasaltBoulder_1453_02,0,1,0,"x: 22, y: 7.668774, z: 57","x: 3.5879998, y: 1.472, z: 2.496",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
63293,H8_HeroWetBasaltBoulder_1453_03,0,1,0,"x: 45, y: 9.913992, z: 68","x: 4.524, y: 1.84, z: 3.1979997",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
66486,H8_PHOTIC_BASALT_BOULDER_1428_5,0,1,0,"x: 34, y: 7.12758, z: 83","x: 2.419531, y: 1.328125, z: 2.3997924",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
68336,H8_PHOTIC_BASALT_BOULDER_1428_1,0,1,0,"x: 18, y: 7.9067864, z: 57","x: 2.347461, y: 1.0484375, z: 1.2593751",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
71518,H8_SURFACE_FOAM_PATCHCLOUD_1459,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid 94643372cd156174bbd6f0b80d90cdfc type 2,8929c306e4891484fa3cdd6cc6ee37f3
73305,H8_UnderwaterSuspendedSpecks_1446,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid c7f45ae1681f8844d8fed2ba0fd670d9 type 2,397c3ed8a147c3743828380174bdfe0b
74190,NOIR_FAR_WATER_CURTAIN_B,0,0,0,"x: -17, y: 5.4, z: 6.4","x: 0.35, y: 8.5, z: 36",fileID 10202 guid 0000000000000000e000000000000000 type 0,bd23e7e7d49570845b20cc49c7de5ded
74370,H8_PHOTIC_BASALT_BOULDER_1428_4,0,1,0,"x: 8, y: 8.416978, z: 76","x: 3.1507812, y: 1.0875, z: 1.9607422",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
76797,H8_HeroWetBasaltBoulder_1453_08,0,1,0,"x: -22, y: 13.94363, z: 116","x: 4.212, y: 1.84, z: 2.9639997",fileID 4300000 guid 1c16f91bca75fa541a399c45e4d90565 type 2,b66ecdf2b76096a45840300654bbc9c5
80887,H8_PHOTIC_RIBBON_KELP_FIELD_1430,0,1,0,"x: 0, y: 0, z: 0","x: 1, y: 1, z: 1",fileID 4300000 guid bd2c14ecb79e9784187a3c1dc4f4f2d3 type 2,9a61a69f8720a03409a0b5ff5e899170
94445,H8_PHOTIC_BASALT_BOULDER_1428_2,0,1,0,"x: 41, y: 7.7483525, z: 56","x: 2.2419922, y: 1.1664063, z: 3.0183594",fileID 4300000 guid a9796173709fdea46b53586b8773a064 type 2,b2c9517dc0af524479d8b317ea06785e
