"manifest_row_id","domain","route_group","role_id","visible_debt_target","current_static_blocker","allowed_shader_route","required_source_package","required_albedo","required_normal","required_packed_or_mask","channel_contract","required_optional_masks","forbidden_sources","allowed_output_folder","prefab_binding_allowed","low_consequence","middle_consequence","high_consequence","ultra_consequence","unity_owner_relink_requirement","status"
"TOOL_Scanner_BODY_HELD_WORLD","ProductFace","tools","Tool_Scanner","Held and world Tool_Scanner prefabs","Mat_Tool_Scanner_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_Scanner","TX_Tool_Scanner_BaseMap","TX_Tool_Scanner_Normal","TX_Tool_Scanner_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","scanner lens rim|screen support masks|controlled emitter mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|scan projection VFX as body|ToolScreenDiegetic as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; scanner identity and broad grip wear","1024-2048 maps; lens rim AO and labels","2048 maps; crisp normal seams and emission mask","4096 source optional; micro-scratch and alternate screen trim sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"TOOL_StunPistol_BODY_HELD_WORLD","ProductFace","tools","Tool_StunPistol","Held and world Tool_StunPistol prefabs","Mat_Tool_StunPistol_Placeholder or equivalent placeholder shell","Hecton_ToolDecayLit body material only","Assets/_SourceData/ProductFace/Tools/Tool_StunPistol","TX_Tool_StunPistol_BaseMap","TX_Tool_StunPistol_Normal","TX_Tool_StunPistol_PackedMaskV1","ToolDecayLit PackedMaskV1 R=Metallic G=AO B=Smoothness A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","capacitor wear|warning labels|controlled emitter mask","Mat_Tool_*_Placeholder|package Lit|Unity primitive|stun arc VFX as body","Assets/_Project/Textures/ProductFace/Tools; Assets/_Project/Materials/ProductFace/Tools","false","512-1024 maps; pistol identity and broad grip wear","1024-2048 maps; safety labels and capacitor AO","2048 maps; crisp barrel normals and masks","4096 source optional; micro-scratch and alternate hazard decal sheet","Create material then relink held and world renderers in one scoped Unity owner pass","DRAFT_SOURCE_REQUIRED"
"RESOURCE_CopperOre_PICKUP","ProductFace","resources","CopperOre","CopperOre pickup/world resource prefab","Flat Mat_Resource_CopperOre shell with empty texture slots","Hecton_MraoAtlasLit candidate after mineral pickup owner approval","Assets/_SourceData/ProductFace/Resources/CopperOre","TX_Resource_CopperOre_BaseMap","TX_Resource_CopperOre_Normal","TX_Resource_CopperOre_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","host-rock copper/oxide seam masks|break-face variation","flat Mat_Resource_* shells|package Lit|Unity primitive|terrain donor as direct pickup source","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","512-1024 maps; host rock and readable copper seam","1024-2048 maps; better seam breakup and AO","2048 maps; sharper fracture normals and oxide gradients","4096 source optional; micro-fracture and variant seam sheet","Create accepted pickup material and relink CopperOre renderer only after source manifest import","CANDIDATE_HOST_ONLY_MISSING_SEAM_SOURCE"
"RESOURCE_FiberKelp_PICKUP","ProductFace","resources","FiberKelp","FiberKelp pickup/world resource prefab","Flat Mat_Resource_FiberKelp shell with empty texture slots","Hecton_ProceduralBio candidate or dedicated organic pickup shader after owner approval","Assets/_SourceData/ProductFace/Resources/FiberKelp","TX_Resource_FiberKelp_AlbedoAtlas","TX_Resource_FiberKelp_NormalAtlas","TX_Resource_FiberKelp_ORM","ORM R=Occlusion G=Roughness B=Metallic A=EmissionMask; Albedo sRGB; Normal normal-map; mask linear","wet fiber strand mask|cut-end variation|subtle translucency note if shader supports it","flat Mat_Resource_* shells|package Lit|Unity primitive|raw kelp environment donor without pickup authoring","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","512-1024 atlas; readable wet fiber bundle","1024-2048 atlas; strand breakup and cut-end AO","2048 atlas; stronger fiber normals and wetness masks","4096 source optional; micro-fiber detail and variant atlas","Create accepted organic pickup material and relink FiberKelp renderer only after route approval","CANDIDATE_TEXTURES_ONLY_MISSING_PICKUP_SOURCE"
"RESOURCE_HydrocarbonResin_PICKUP","ProductFace","resources","HydrocarbonResin","HydrocarbonResin pickup/world resource prefab","Flat Mat_Resource_HydrocarbonResin shell with empty texture slots","Hecton_MraoAtlasLit candidate or dedicated resin pickup shader after owner approval","Assets/_SourceData/ProductFace/Resources/HydrocarbonResin","TX_Resource_HydrocarbonResin_BaseMap","TX_Resource_HydrocarbonResin_Normal","TX_Resource_HydrocarbonResin_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","amber opacity note|oil sheen mask if shader route declares it","flat Mat_Resource_* shells|package Lit|Unity primitive|generic slime/oil donor","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","512-1024 maps; amber resin identity and broad roughness shift","1024-2048 maps; internal streaks and AO","2048 maps; sharper surface normals and oily mask gradients","4096 source optional; micro-bubbles and variant resin sheet","Create accepted pickup material and relink HydrocarbonResin renderer after source approval","MISSING_SOURCE_REQUIRED"
"RESOURCE_MembraneTissue_PICKUP","ProductFace","resources","MembraneTissue","MembraneTissue pickup/world resource prefab","Flat Mat_Resource_MembraneTissue shell with empty texture slots","Hecton_ProceduralBio candidate or dedicated organic pickup shader after owner approval","Assets/_SourceData/ProductFace/Resources/MembraneTissue","TX_Resource_MembraneTissue_AlbedoAtlas","TX_Resource_MembraneTissue_NormalAtlas","TX_Resource_MembraneTissue_ORM","ORM R=Occlusion G=Roughness B=Metallic A=EmissionMask; Albedo sRGB; Normal normal-map; mask linear","wet membrane vein mask|torn-edge variation|subsurface note if shader supports it","flat Mat_Resource_* shells|package Lit|Unity primitive|creature donor without pickup authoring","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","512-1024 atlas; readable torn membrane shape","1024-2048 atlas; vein breakup and wet AO","2048 atlas; stronger membrane normals and roughness control","4096 source optional; micro-veins and variant torn-edge sheet","Create accepted organic pickup material and relink MembraneTissue renderer after source approval","MISSING_SOURCE_REQUIRED"
"RESOURCE_SilicaShards_PICKUP","ProductFace","resources","SilicaShards","SilicaShards pickup/world resource prefab","Flat Mat_Resource_SilicaShards shell with empty texture slots","Hecton_MraoAtlasLit candidate after mineral pickup owner approval","Assets/_SourceData/ProductFace/Resources/SilicaShards","TX_Resource_SilicaShards_BaseMap","TX_Resource_SilicaShards_Normal","TX_Resource_SilicaShards_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","edge opacity note if glass route is later declared|fracture variation","flat Mat_Resource_* shells|package Lit|Unity primitive|generic glass donor","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","512-1024 maps; readable milky shard material","1024-2048 maps; fracture breakup and AO","2048 maps; sharper shard normals and roughness gradients","4096 source optional; micro-fracture and variant shard sheet","Create accepted pickup material and relink SilicaShards renderer after source approval","MISSING_TEXTURE_SOURCE_REQUIRED"
"RESOURCE_SilverOre_PICKUP","ProductFace","resources","SilverOre","SilverOre pickup/world resource prefab","Flat Mat_Resource_SilverOre shell with empty texture slots","Hecton_MraoAtlasLit candidate after mineral pickup owner approval","Assets/_SourceData/ProductFace/Resources/SilverOre","TX_Resource_SilverOre_BaseMap","TX_Resource_SilverOre_Normal","TX_Resource_SilverOre_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","host-rock silver seam masks|break-face variation","flat Mat_Resource_* shells|package Lit|Unity primitive|terrain donor as direct pickup source","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","512-1024 maps; host rock and readable silver seam","1024-2048 maps; better seam breakup and AO","2048 maps; sharper fracture normals and metallic gradients","4096 source optional; micro-fracture and variant seam sheet","Create accepted pickup material and relink SilverOre renderer after source approval","CANDIDATE_HOST_ONLY_MISSING_SEAM_SOURCE"
"RESOURCE_SulfurClumps_PICKUP","ProductFace","resources","SulfurClumps","SulfurClumps pickup/world resource prefab","Flat Mat_Resource_SulfurClumps shell with empty texture slots","Hecton_MraoAtlasLit candidate after mineral pickup owner approval","Assets/_SourceData/ProductFace/Resources/SulfurClumps","TX_Resource_SulfurClumps_BaseMap","TX_Resource_SulfurClumps_Normal","TX_Resource_SulfurClumps_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","crystal/nodule variation|powder edge mask","flat Mat_Resource_* shells|package Lit|Unity primitive|generic crystal donor","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","512-1024 maps; yellow nodule identity and broad roughness","1024-2048 maps; crystal breakup and AO","2048 maps; sharper nodule normals and sulfur powder masks","4096 source optional; micro-crystal and variant clump sheet","Create accepted pickup material and relink SulfurClumps renderer after source approval","MISSING_TEXTURE_SOURCE_REQUIRED"
"RESOURCE_TitaniumScrap_PICKUP","ProductFace","resources","TitaniumScrap","TitaniumScrap pickup/world resource prefab","Flat Mat_Resource_TitaniumScrap shell or default/package Lit in related Titanium row","Hecton_MraoAtlasLit candidate; Hecton_ToolDecayLit only if resource owner declares shared alloy route","Assets/_SourceData/ProductFace/Resources/TitaniumScrap","TX_Resource_TitaniumScrap_BaseMap","TX_Resource_TitaniumScrap_Normal","TX_Resource_TitaniumScrap_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","bent-edge wear|salt corrosion|cut marks","flat Mat_Resource_* shells|package Lit|Unity primitive|tool body material alias without owner approval","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","512-1024 maps; bent scrap identity and broad metal wear","1024-2048 maps; cut marks and AO","2048 maps; sharper bent normals and metallic wear gradients","4096 source optional; micro-scratches and variant scrap sheet","Create accepted pickup material and relink TitaniumScrap renderer; handle legacy Item_Titanium separately","MISSING_TEXTURE_SOURCE_REQUIRED_MATERIAL_PLACEHOLDER_EXISTS"
"RESOURCE_Item_Titanium_LEGACY_CLASSIFICATION","ProductFace","resources","Item_Titanium","Legacy Item_Titanium prefab/material row","Package/default Lit material reported in prior matrix","No independent material route; inherit TitaniumScrap only if retained by resource owner","Assets/_SourceData/ProductFace/Resources/TitaniumScrap","TX_Resource_TitaniumScrap_BaseMap","TX_Resource_TitaniumScrap_Normal","TX_Resource_TitaniumScrap_MRAO","Must match accepted TitaniumScrap contract exactly if retained; otherwise quarantine","none","package Lit|Unity primitive|independent legacy titanium material","Assets/_Project/Textures/ProductFace/Resources; Assets/_Project/Materials/ProductFace/Resources","false","No extra low-tier variant; alias or quarantine","No extra middle-tier variant; alias or quarantine","No extra high-tier variant; alias or quarantine","No extra ultra-tier variant; alias or quarantine","Later owner must classify as alias-to-TitaniumScrap or remove from ProductFace visible set with proof","LEGACY_CLASSIFICATION_REQUIRED"
"TRANSPORT_CargoSled_HULL","ProductFace","transport","CargoSled_HULL","PFB_CargoSled_Transport hull/body renderers","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or future transport hull shader after route approval","Assets/_SourceData/ProductFace/Transport/CargoSled/Hull","TX_Transport_CargoSled_Hull_BaseMap","TX_Transport_CargoSled_Hull_Normal","TX_Transport_CargoSled_Hull_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","load scrape masks|tow point wear|serial labels if visible","package Lit|Unity primitive|RuntimeVisualProof shell as final source|vehicle screenshot donor","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 maps; readable industrial sled hull","1024-2048 maps; load wear and panel AO","2048 maps; sharper panel normals and serial marks","4096 source optional; micro-scratches and variant panel sheet","Create route-approved material and relink CargoSled hull slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_CargoSled_RUBBER_GRIP","ProductFace","transport","CargoSled_RUBBER_GRIP","PFB_CargoSled_Transport pads/grips/tow buffers","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or future rubber material shader after route approval","Assets/_SourceData/ProductFace/Transport/CargoSled/RubberGrip","TX_Transport_CargoSled_RubberGrip_BaseMap","TX_Transport_CargoSled_RubberGrip_Normal","TX_Transport_CargoSled_RubberGrip_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; rubber usually low metallic; BaseMap sRGB; mask linear","salt scuff|compression wear|rubber rib pattern","package Lit|Unity primitive|generic black material|RuntimeVisualProof shell as final source","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 maps; clear rubber identity and broad scuffs","1024-2048 maps; rib normals and worn edges","2048 maps; sharper rubber pattern and roughness control","4096 source optional; micro-pitting and alternate grip sheet","Create route-approved material and relink CargoSled rubber/grip slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_CargoSled_LABEL_TRIM","ProductFace","transport","CargoSled_LABEL_TRIM","PFB_CargoSled_Transport labels/clamps/hazard trims","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or decal/trim route after approval","Assets/_SourceData/ProductFace/Transport/CargoSled/LabelTrim","TX_Transport_CargoSled_LabelTrim_BaseMap","TX_Transport_CargoSled_LabelTrim_Normal","TX_Transport_CargoSled_LabelTrim_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; label albedo sRGB; mask linear","hazard label atlas|paint chip mask|small emission mask only for physical indicators","package Lit|Unity primitive|unlicensed decal sheet|RuntimeVisualProof shell as final source","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 trim atlas; only major labels readable","1024-2048 trim atlas; secondary labels and paint chips","2048 trim atlas; crisp text and clamp normals","4096 source optional; extra decal variants and micro-wear","Create route-approved trim material and relink CargoSled trim slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_ExosuitFrame_FRAME","ProductFace","transport","ExosuitFrame_FRAME","PFB_Exosuit_Frame_Transport frame/body renderers","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or future transport frame shader after route approval","Assets/_SourceData/ProductFace/Transport/ExosuitFrame/Frame","TX_Transport_ExosuitFrame_Frame_BaseMap","TX_Transport_ExosuitFrame_Frame_Normal","TX_Transport_ExosuitFrame_Frame_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; BaseMap sRGB; Normal normal-map; mask linear","joint wear|hydraulic scuff|serial labels","package Lit|Unity primitive|RuntimeVisualProof shell as final source|player suit donor","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 maps; readable exosuit frame material","1024-2048 maps; joint AO and hydraulic wear","2048 maps; sharper frame normals and label masks","4096 source optional; micro-scratches and extra joint decals","Create route-approved material and relink ExosuitFrame frame slots only","DRAFT_SOURCE_REQUIRED"
"TRANSPORT_ExosuitFrame_RUBBER_SEALS","ProductFace","transport","ExosuitFrame_RUBBER_SEALS","PFB_Exosuit_Frame_Transport seals/grips/straps","Package/default Lit GUID 31321ba15b8f8eb4c954353edc038b1d reported","Hecton_MraoAtlasLit candidate or future rubber material shader after route approval","Assets/_SourceData/ProductFace/Transport/ExosuitFrame/RubberSeals","TX_Transport_ExosuitFrame_RubberSeals_BaseMap","TX_Transport_ExosuitFrame_RubberSeals_Normal","TX_Transport_ExosuitFrame_RubberSeals_MRAO","MRAO R=Metallic G=Roughness B=AO A=EmissionMask; rubber usually low metallic; BaseMap sRGB; mask linear","seal compression wear|salt ring mask|strap weave","package Lit|Unity primitive|generic black material|player glove donor without approval","Assets/_Project/Textures/ProductFace/Transport; Assets/_Project/Materials/ProductFace/Transport","false","512-1024 maps; readable rubber/seal identity","1024-2048 maps; strap weave and compression AO","2048 maps; sharper rubber normals and wet roughness","4096 source optional; micro-pitting and alternate seal sheet","Create route-approved material and relink ExosuitFrame seal/grip slots only","DRAFT_SOURCE_REQUIRED"
