id,category,artifact_path,field_or_claim,value,evidence_class,reachability_impact,recommended_owner_action
R012,harvestable,Assets/_Project/Data/World/HarvestableTemplate_TitaniumOutcrop.asset,loot_table,Data_TitaniumScrap 2-4 weight 5; Data_SilverOre 1-2 weight 1; Data_Copper 1 weight 1,static_yaml,Possible non-drill copper/titanium source but placement unproven,Place/wire/prove if used as first-hour copper/titanium route
R013,harvestable,Assets/_Project/Scripts/Gameplay/HarvestableOutcrop.cs,tool_gate,ApplyInteractionSignal accepts positive PowerDelivered without capability mask check,static_source,Outcrop may be breakable by non-drill tools but prefab/placement unknown,PlayMode prove intended tool can break authored outcrop
T001,tool_mapping,Assets/_Project/Scripts/Scavenging/ResourceNodeTemplate.cs,HarvestToolClass,Any 0; Knife 1; Drill 2; Laser 3; Salvage 4,static_source,Defines requiredToolClass meaning,Do not reinterpret numeric values without migration
T002,tool_mapping,Assets/_Project/Scripts/ResourceNode.cs,ResolveRequiredToolCapabilityMask,Drill maps to ToolCapabilityMasks.Drill,static_source,CopperVein requires Drill capability,Use Drill-capable tool or change route asset
T003,tool_mapping,Assets/_Project/Scripts/Interaction/EquipmentInteractionContracts.cs,ToolCapabilityMasks,Drill 1<<1; PlasmaCut Cut|Burn|Laser,static_source,LaserCutter does not satisfy Drill,Do not claim laser can harvest CopperVein
T004,tool,Assets/_Project/Scripts/LaserCutter.cs,GetCapabilityMask,ToolCapabilityMasks.PlasmaCut,static_source,Starter LaserCutter cannot satisfy CopperVein,Keep laser for laser gates only
T005,tool,Assets/_Project/Scripts/SeafloorDrillTool.cs,GetCapabilityMask,ToolCapabilityMasks.Drill,static_source,Correct code tool exists but no authored item/prefab route,Create authored assets and loadout/unlock path
T006,starter_loadout,Assets/_Project/Prefabs/Player.prefab,toolPrefabs,Scanner; Repair; Builder; LaserCutter,static_prefab,No Drill and no SalvageSampler in assigned starter slots,Update starter route or adjust quests
T007,starter_loadout,Assets/_Project/Prefabs/Player.prefab,knownToolPrefabs,Scanner; Repair; Builder; LaserCutter; Flashlight; Propulsion; SalvageSampler; BeaconDeployer; EnvAnalyzer; Knife; StunPistol; HarpoonLauncher,static_prefab,Known tools are not automatically starter grants,Do not count known-only tools as available without unlock proof
T008,missing_asset,Assets/_Project/Data/Items/Tools/Item_Tool_SeafloorDrill.asset,exists,False,static_filesystem,Drill item route missing,Author item asset
T009,missing_asset,Assets/_Project/Prefabs/Tools/Held/Tool_SeafloorDrill_Held.prefab,exists,False,static_filesystem,Drill held prefab route missing,Author held prefab and wire _toolData
T010,validator,Assets/_Project/Scripts/Editor/ContentSanityValidator.cs,first_hour_drill_route_check,Errors when CopperVein is Drill-gated and SeafloorDrill item/prefab is missing,static_source,Existing validator agrees with blocker,Run validator after owner fix
Q001,first_hour_director,Assets/_Project/Scripts/Gameplay/FirstHourDirector.cs,firstResourceItemId,Data_Copper,static_source,FirstHourDirector expects copper as first resource,Route must provide actual copper
Q002,first_hour_director,Assets/_Project/Scripts/Gameplay/FirstHourDirector.cs,firstCraftResultItemId0,Comp_CopperWire,static_source,First craft milestone depends on copper wire,Prove copper collection and crafting
Q003,first_hour_director,Assets/_Project/Scripts/Gameplay/FirstHourDirector.cs,firstCraftResultItemId1,Data_EmergencyO2Canister,static_source,Director expects emergency oxygen reserve milestone,Prove canister route or remove as critical first-hour gate
Q004,quest,Assets/_Project/Data/Lore/Quests/Quest_CopperSample.asset,completion,trigger first_hour_exit_lifepod; completion Data_Copper x1 ItemCollected,static_yaml,Copper quest activates after exit and completes on Data_Copper,Prove source grants correct item hash
Q005,quest,Data/Narrative/Quest_Graph.json,quest_first_hour_collect_titanium,completion Data_TitaniumScrap; criticalItemId Data_TitaniumScrap; respawnEventId respawn_first_hour_titanium,static_json,Titanium branch needs real source and respawn recovery,Prove titanium source and death behavior
Q006,quest,Data/Narrative/Quest_Graph.json,quest_first_hour_craft_scanner,completion Item_Tool_Scanner; prerequisite quest_first_hour_collect_titanium; respawnEventId respawn_first_hour_scanner,static_json,Scanner craft branch depends on titanium route,Prove runtime craft and save/load
C001,crafting,Assets/_Project/Data/Crafting/Recipes/Recipe_CopperWire.asset,recipe,Result Comp_CopperWire x1; ingredient Data_Copper x1; craftTime 1.5; powerCost 5,static_yaml,Unity asset says one copper wire costs one copper,Declare runtime authority and prove
C002,crafting,Data/Economy/Crafting_Costs.json,Recipe_CopperWire,Ingredient Data_Copper quantity 2; result Comp_CopperWire x1; PowerCost_kWh 0.15; FabricationTimeSeconds 17.5,static_json,Conflicts with Unity recipe asset,Resolve one-owner recipe truth
C003,crafting,Assets/_Project/Data/Crafting/Recipes/Recipe_EmergencyO2Canister.asset,recipe,Result Data_EmergencyO2Canister x1; ingredients Data_MembraneTissue x1 Comp_FiberMesh x1 Data_ElectrolyteSalts x1; craftTime 1.5; powerCost 5,static_yaml,Canister craft depends on resources not all starter-safe,Do not rely on crafted canister before resource/depth proof
C004,item,Assets/_Project/Data/Items/Resources/Processed/Data_EmergencyO2Canister.asset,oxygenRestore,35,static_yaml,Consumable reserve can refill oxygen if obtainable,Prove item use path in PlayMode
O001,survival_stats,Assets/_Project/Data/Survival/Standard_Suit_V1.asset,maxOxygen,139.2400,static_yaml,Paper O2 reserve is high enough for shallow route if short,Measure actual route O2 margin
O002,survival_stats,Assets/_Project/Data/Survival/Standard_Suit_V1.asset,oxygenConsumptionRate,0.0150,static_yaml,Base drain before multipliers,Keep gameplay formula fixed across quality tiers
O003,survival_stats,Assets/_Project/Data/Survival/Standard_Suit_V1.asset,safeDepth,50,static_yaml,Copper min 40 is within margin but max 420 is not,Constrain first-hour copper depth
O004,survival_runtime,Assets/_Project/Scripts/HectonSurvivalSystem.cs,surfaceOxygenRefillRate,15 per second,static_source,Surface return/refill is strong if route reaches air,Prove surface contract during first-hour return
O005,survival_runtime,Assets/_Project/Scripts/HectonSurvivalSystem.cs,pressure_scale,1 + depth*0.1 clamped 1-16,static_source,40 m causes 5x oxygen drain before movement/stress,Test real route at intended depth
O006,survival_runtime,Assets/_Project/Scripts/HectonSurvivalSystem.cs,movement_scale,1.0 to 1.55,static_source,Movement can reduce 40 m endurance from 30.9 min to about 20.0 min before other multipliers,Test swim route not idle math
O007,survival_runtime,Assets/_Project/Scripts/Core/Contracts/Physiology/MetabolicStateContract.cs,HypoxiaAgonyDurationSeconds,4 seconds,static_source,Oxygen grace exists but is not route budget,Do not rely on grace for acceptance
O008,suit_upgrade,Assets/_Project/Data/Lore/SuitUpgrades/SuitUpgrade_Oxygen_Tier1_AuxReservoir.asset,deltaMaxOxygen,+4,static_yaml,Small first oxygen upgrade; no depth delta,Do not treat as depth unlock
O009,oxygen_bubble,Assets/_Project/Scripts/Gameplay/OxygenBubble.cs,oxygenAmount,15,static_source,Bubble support exists as script default,Place/prefab-wire if claimed in route
O010,oxygen_plant,Assets/_Project/Scripts/Gameplay/OxygenPlant.cs,releaseInterval,5 sec with 0.5 sec variation,static_source,Plant support exists but needs prefab and placement,Prove bubble release and collection in PlayMode
O011,oxygen_database,Assets/_Project/Data/Survival/SurvivalDatabaseRuntime.txt,oxygen_ids,Proc_OxygenPellet; Proc_EmergencyO2Canister; Comp_OxygenManifold; Comp_ScrubberBed; Item_Equip_OxygenRig_T1/T2; Build_Oxygen_ScrubberRack; Build_Oxygen_Tank; Wreck_OxygenLineCoil,static_txt,Data IDs exist but not first-hour authored route proof,Only claim reachable support after placement/crafting proof
O012,base_atmosphere,Assets/_Project/Scripts/SubmarineAtmosphereSystem.cs,defaults,RoomCapacity 8; oxygenTankCapacity 100; lowOxygenThreshold 0.2; room O2 drain 0.5 percent/sec/player; tick 1 sec; brownout threshold 0.40,static_source,Base support exists but not first-hour route proof,Keep base oxygen out of first-hour proof unless base exists in route
O013,missing_asset,Assets/_Project/Data/Crafting/Recipes/Recipe_ModuleO2Recycler.asset,exists,False,static_filesystem,Economy O2 recycler does not have checked Unity recipe asset,Resolve runtime binding before using as support
O014,missing_asset,Assets/_Project/Data/Items/Equipment/Item_StandardO2Tank.asset,exists,False,static_filesystem,Economy starter O2 tank guard is not backed by checked Unity asset path,Resolve binding or remove claim
S001,save,Assets/_Project/Scripts/Gameplay/FirstHourDirector.cs,ISaveable_priority,SavePriority 13; LoadPriority 13,static_source,Director state participates in save/load,PlayMode save/load still required
S002,respawn,Assets/_Project/Scripts/Gameplay/PlayerDeathReconciliationBridge.cs,route,Emits PlayerRespawnSignal request with death AUP and SuspendCollision,static_source,Respawn route exists without scene reload,Prove committed respawn behavior in PlayMode
S003,respawn,Assets/_Project/Scripts/Core/Contracts/Signals/PlayerRespawnSignal.cs,layout,128 bytes; capacity 16; flags Requested/Committed/SuspendCollision/MockMedicalBay/FallbackLifepod/InvalidTargetAup/PenaltyApplied/InvalidDeathAup,static_source,Signal contract exists,Validate with runtime signal proof
S004,respawn,Assets/_Project/Scripts/Physiology/ShinobuRespawnData.cs,telemetry,TelemetryFrameCount 300,static_source,Black-box ring exists for respawn,Require dump/proof on failure
S005,respawn,Assets/_Project/Scripts/Physiology/ShinobuRespawnReconciliationRuntime.cs,default_tuning,FallbackLifepodAUP default; PenaltyMultiplier 1; Invulnerability 1.5 sec; MedicalBaySearchRadius 5000; MockMedicalBay flag,static_source,Fallback exists but not final route proof,Prove target AUP and inventory penalty behavior
S006,respawn,respawn_penalty_rules.csv,exists,False in static file index,static_filesystem,No authored penalty CSV found; fallback inventory penalty may drop resources,Add/validate first-hour critical item rules or prove recovery
S007,inventory,Assets/_Project/Scripts/PlayerInventory.cs,death_penalty,Tools/equipment skipped when no rule table; resources can drop by fallback budget,static_source,Copper/titanium/wire may be lost on death without rule proof,Run death/respawn inventory gates
G001,proof_gate,PlayMode,FH_RESOURCE_COPPER_REACH,Reach intended copper source from start without debug,required_runtime_proof,Static audit cannot prove route,Implement/run gate
G002,proof_gate,PlayMode,FH_RESOURCE_COPPER_HARVEST,Harvest Data_Copper and complete quest signal,required_runtime_proof,Confirms tool/source route,Implement/run gate
G003,proof_gate,PlayMode,FH_RESOURCE_RETURN_ALIVE,Return alive with O2 margin and telemetry,required_runtime_proof,Confirms O2 reachability,Implement/run gate
G004,proof_gate,PlayMode,FH_CRAFT_COPPERWIRE,Craft Comp_CopperWire and verify actual ingredient count,required_runtime_proof,Resolves recipe authority at runtime,Implement/run gate
G005,proof_gate,PlayMode,FH_TITANIUM_BRANCH,Collect Data_TitaniumScrap and craft Item_Tool_Scanner if branch active,required_runtime_proof,Confirms titanium route not softlocked,Implement/run gate
G006,proof_gate,PlayMode,FH_SAVE_LOAD_RESOURCE,Save/load after resource/craft and verify inventory quest node state,required_runtime_proof,Confirms persistence route,Implement/run gate
G007,proof_gate,PlayMode,FH_RESPAWN_RESOURCE,Die after collecting first-hour items and verify retention/drop/recovery,required_runtime_proof,Confirms no death softlock,Implement/run gate
G008,proof_gate,PlayMode,FH_OXYGEN_SUPPORT,Collect/use bubble/canister if route claims it and verify O2 delta,required_runtime_proof,Confirms oxygen support,Implement/run gate
F001,safe_fix,Unity/data owner,preferred_copper_vein_fix,Author SeafloorDrill item prefab loadout/unlock and prove Drill harvest,owner_action,Fixes current CopperVein blocker,Do in Assets by Unity owner
F002,safe_fix,Unity/data owner,preferred_non_drill_fix,Keep CopperVein Drill-gated and route first copper through placed outcrop/pickup,owner_action,Avoids cheap Any/Knife downgrade,Do in Assets by Unity owner
F003,safe_fix,Unity/data owner,oxygen_fix,Place/wire oxygen support or prove short shallow route without it,owner_action,Prevents O2 softlock,Do in scene/data with proof
F004,safe_fix,Unity/data owner,respawn_fix,Add/validate first-hour critical item penalty/recovery rules,owner_action,Prevents death softlock,Do in data/runtime proof
QW001,quality_scaling,GlobalQualityWeight,low,Same resource/tool/O2 truth; reduce VFX particles/shader/debris/bubble presentation only,policy,Low tier cannot alter gameplay truth,Keep route readable
QW002,quality_scaling,GlobalQualityWeight,middle,Same truth; moderate feedback and warnings,policy,Middle tier cannot hide route or alter costs,Keep timings identical
QW003,quality_scaling,GlobalQualityWeight,high,Same truth; richer materials caustics scanner hints and HUD feedback,policy,High tier buys presentation only,No extra resources or easier gates
QW004,quality_scaling,GlobalQualityWeight,ultra,Same truth; visual overkill for debris fabricator sparks route lighting water and telemetry visualization,policy,Ultra tier cannot change authority,No gameplay truth changes
