id,asset_path,type,static_role,current_binding,source_status,channel_contract,import_or_dimensions,validator_action,proof_status
AEGIR_SKY_SHADER,Assets/_Project/Art/Shaders/Sky/Hecton_AegirSky.shader,shader,Aegir sky rendering route,MAT_AegirSky_Master shader,Source route present,Uses _AegirBandTex; procedural band additions exist,Uses _H8GlobalQualityWeight and Aegir globals,Capture must reject sine-stripe/sticker read,PENDING VERIFICATION
MAT_HECTON_SKY,Assets/_Project/Art/Materials/Mat_HectonSky.mat,material,Main bright sky material,Sky_System child material and scene skybox material,Source route with unresolved texture GUIDs,Texture slots only; missing atlas contract,Sky luminance 1.34; sun elevation 0.62; haze 0.46,Fail unresolved GUIDs and verify exposure,PENDING VERIFICATION
HECTON_ALIEN_SKY_SHADER,Assets/_Project/Art/Shaders/Hecton_AlienSky_Master.shader,shader,Main sky shader,Mat_HectonSky shader,Source route present,Requires bound texture contracts,Not runtime inspected in Unity,Validate hot path and visual floor,PENDING VERIFICATION
SKY_MAIN_CLOUD_TEX,Assets/_Project/Art/TEXTURES/Sky/oblaka!.png,texture,Main cloud source,_MainCloudTex on Mat_HectonSky,Resolved,Color/density role unverified,2048x2048; 5325005 bytes,Validate import and visible cloud quality,PENDING VERIFICATION
SKY_STAR_TEX,Assets/_Project/Art/TEXTURES/Sky/bo2.png,texture,Star texture source,_StarTex on Mat_HectonSky,Resolved,Color/source role unverified,2048x2048; 5056673 bytes,Validate it does not pollute bright day surface,PENDING VERIFICATION
SKY_HIGH_CLOUD_GUID,Mat_HectonSky _HighCloudTex GUID 97dacc...,texture reference,High cloud texture slot,_HighCloudTex,GUID not resolved by static search,Unknown,Missing path,Fail missing texture reference,PENDING VERIFICATION
SKY_MAIN_ATLAS_GUID,Mat_HectonSky _MainCloudAtlas GUID 161f2a...,texture reference,Cloud atlas slot,_MainCloudAtlas,GUID not resolved by static search,Unknown,Missing path,Fail missing texture reference,PENDING VERIFICATION
SKY_ATLAS_TOOLS,Assets/_Project/Editor/HectonSkyTools.cs,editor tool,Sky atlas generation,writes HectonSkyAtlas_RGBA.png,Source route present,R density; G detail; B curl-flow X; A curl-flow Y,Linear/BC7/Repeat/Mipmaps,Resolve ownership conflict with atlas generator,PENDING VERIFICATION
SKY_ATLAS_GENERATOR,Assets/_Project/Editor/HectonSkyAtlasGenerator.cs,editor tool,Sky atlas packing,writes HectonSkyAtlas_RGBA.png,Source route present,R density; G erosion; B triangle-flow X; A triangle-flow Y,2048 target; Linear/BC7/Repeat/Mipmaps,Resolve ownership conflict with sky tools,PENDING VERIFICATION
SCENEVIEW_ENFORCER,Assets/_Project/Scripts/Editor/SceneViewSkyboxEnforcer.cs,editor script,SceneView skybox consistency,Forces SceneView skybox/clouds/fog/image effects,Source route present,None,0.5 second refresh interval,Require paired SceneView/GameView proof,PENDING VERIFICATION
PRODUCTFACE_VALIDATOR,Assets/_Project/Scripts/Editor/ProductFaceSkyOceanSourceValidator.cs,editor validator,Source visual floor validator,Covers Sky_System and Ocean_Crest,Partial coverage,None,Has dark/noir coverup rejection string,Extend for Aegir/moons/cloud atlas/exposure/capture proof,PENDING VERIFICATION
SKY_FOLLOW_CAMERA,Assets/_Project/Scripts/SkySystemFollowCamera.cs,runtime script,Sky shell follows camera,Sky_System component,Source route present,None,ExecuteAlways; registry cached cold,Validate prefab serialized sea-level lock impact,PENDING VERIFICATION
ATMOS_RUNTIME,Assets/_Project/Scripts/Atmosphere/ShinobuOceanSurfaceAtmosphereRuntime.cs,runtime script,Ocean/atmosphere relation,Runtime atmosphere globals,Source route present,DTO route not texture channels,Uses SkyTintAndSurge and wave cadence,Validate bright surface relation and cost later,PENDING VERIFICATION
ATMOS_CONTRACTS,Assets/_Project/Scripts/Atmosphere/ShinobuOceanSurfaceAtmosphereRuntime.Contracts.cs,contract,Atmosphere/weather/ocean DTO contracts,Runtime contracts,Source route present,None,Telemetry ring 300; continuous GlobalQualityWeight,Keep gameplay truth independent of quality tier,PENDING VERIFICATION
OBSERVER_RELATIVE_CELESTIAL,Assets/_Project/Scripts/ObserverRelativeCelestialBody.cs,runtime script,Celestial observer-relative placement,Potential Aegir/moon route,Source route present,None,Fixed vertical offset can place Aegir partly below horizon,Verify horizon relation in capture,PENDING VERIFICATION
MOON_SHADER,Assets/_Project/Art/Shaders/Hecton_CelestialMoon.shader,shader,Moon rendering shader,Moon materials use it,Source route present,BaseMap only; no normal/height texture slots,Supports procedural phase and Aegir fill,Do not validate normal/height assets as active until shader route exists,PENDING VERIFICATION
MOON_I_P_V_MATERIALS,Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Ione|Pelagia|Varda.mat,materials,Moon materials,_BaseMap resolves to Rocks019_1K-JPG_Color.jpg,Weak source route,Base color only,Rocks019 terrain texture reused,Replace with moon-specific source art later,PENDING VERIFICATION
MOON_K_N_T_MATERIALS,Assets/_Project/Art/Materials/Celestial/MAT_CelestialMoon_Khepri|Nammu|Thalos.mat,materials,Moon materials,_BaseMap resolves to Rock031_1K-JPG_Color.jpg,Weak source route,Base color only,Rock031 terrain texture reused,Replace with moon-specific source art later,PENDING VERIFICATION
