candidate_id,target_prefab_or_family,current_debt,candidate_source_or_future_route,material_requirement,required_preservation,do_not_apply_reason,evidence
PF2008-R015,Resource_HydrocarbonResin,primitive or flat material shell,Assets/_Project/Art/Generated/ProductFace/Resources/GEN_Resource_HydrocarbonResin_Source_LOD0.mesh,Organic/resin shader contract pending; albedo normal packed mask required,PickupItem resin identity and data reference,DO NOT APPLY; resource channel contract and import proof missing,ProductFaceResourcePickupMeshSourceAuthoring.cs
PF2008-R016,Resource_MembraneTissue,primitive or flat material shell,Assets/_Project/Art/Generated/ProductFace/Resources/GEN_Resource_MembraneTissue_Source_LOD0.mesh,Organic pickup shader contract pending; albedo normal packed mask required,PickupItem tissue identity and data reference,DO NOT APPLY; organic channel contract and import proof missing,ProductFaceResourcePickupMeshSourceAuthoring.cs
PF2008-R017,Resource_SilicaShards,primitive or flat material shell,Assets/_Project/Art/Generated/ProductFace/Resources/GEN_Resource_SilicaShards_Source_LOD0.mesh,Resource mineral shader contract pending; albedo normal packed mask required,PickupItem shard identity and data reference,DO NOT APPLY; resource channel contract and import proof missing,ProductFaceResourcePickupMeshSourceAuthoring.cs
PF2008-R018,Resource_SilverOre,primitive or flat material shell,Assets/_Project/Art/Generated/ProductFace/Resources/GEN_Resource_SilverOre_Source_LOD0.mesh,Resource mineral shader contract pending; albedo normal packed mask required,PickupItem silver identity and data reference,DO NOT APPLY; resource channel contract and import proof missing,ProductFaceResourcePickupMeshSourceAuthoring.cs
PF2008-R019,Resource_SulfurClumps,primitive or flat material shell,Assets/_Project/Art/Generated/ProductFace/Resources/GEN_Resource_SulfurClumps_Source_LOD0.mesh,Resource mineral/chemical shader contract pending; albedo normal packed mask required,PickupItem sulfur identity and data reference,DO NOT APPLY; resource channel contract and import proof missing,ProductFaceResourcePickupMeshSourceAuthoring.cs
PF2008-R020,Resource_TitaniumScrap,primitive or flat material shell with legacy alias risk,Assets/_Project/Art/Generated/ProductFace/Resources/GEN_Resource_TitaniumScrap_Source_LOD0.mesh,TitaniumScrap material contract pending; albedo normal packed mask required,PickupItem and Data_TitaniumScrap reference,DO NOT APPLY; canonical alias decision and channel contract missing,ProductFaceResourcePickupMeshSourceAuthoring.cs and 1897 titanium matrix
PF2008-R021,Transport_CargoSled,default package material or primitive/blockout source,Assets/_Project/Art/Generated/ProductFace/Transport/GEN_Transport_CargoSled_Source_LOD0.mesh,Transport hull rubber trim and glass contracts pending,RiderAnchor DismountAnchor colliders scale presets,DO NOT APPLY; transport material contract and Unity validation missing,ProductFaceTransportMeshSourceAuthoring.cs
PF2008-R022,Transport_ExosuitFrame,default package material or primitive/blockout source,Assets/_Project/Art/Generated/ProductFace/Transport/GEN_Transport_ExosuitFrame_Source_LOD0.mesh,Transport hull rubber trim glass and suit-adjacent contracts pending,RiderAnchor DismountAnchor colliders scale presets,DO NOT APPLY; transport material contract and Unity validation missing,ProductFaceTransportMeshSourceAuthoring.cs
PF2008-R023,Transport_MicroSub,default package material or primitive/blockout source,Assets/_Project/Art/Generated/ProductFace/Transport/GEN_Transport_MicroSub_Source_LOD0.mesh,Transport hull rubber trim and glass contracts pending,RiderAnchor DismountAnchor colliders scale cockpit readability,DO NOT APPLY; transport material contract and Unity validation missing,ProductFaceTransportMeshSourceAuthoring.cs
PF2008-R024,Transport_ScoutGlider,default package material or primitive/blockout source,Assets/_Project/Art/Generated/ProductFace/Transport/GEN_Transport_ScoutGlider_Source_LOD0.mesh,Transport hull rubber trim and glass contracts pending,RiderAnchor DismountAnchor colliders scale handle readability,DO NOT APPLY; transport material contract and Unity validation missing,ProductFaceTransportMeshSourceAuthoring.cs
PF2008-R025,PlayerSuit_LeftGlove,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_LeftGlove_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,HandAnchor camera first-person readability,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R026,PlayerSuit_RightGlove,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_RightGlove_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,HandAnchor camera first-person readability,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R027,PlayerSuit_LeftForearm,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_LeftForearm_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,HandAnchor camera first-person readability,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R028,PlayerSuit_RightForearm,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_RightForearm_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,HandAnchor camera first-person readability,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R029,PlayerSuit_LeftShoulder,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_LeftShoulder_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,Camera body silhouette and animation clearance,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R030,PlayerSuit_RightShoulder,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_RightShoulder_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,Camera body silhouette and animation clearance,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R031,PlayerSuit_Torso,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_Torso_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,Swim controller collider camera and HUD clearance,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R032,PlayerSuit_Pelvis,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_Pelvis_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,Swim controller collider and animation clearance,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R033,PlayerSuit_LegsFins,player blockout material,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_LegsFins_Source_LOD0.mesh,Player suit body/trim contract pending; visor mask not sufficient,Swim controller silhouette fin clearance and first-person occlusion,DO NOT APPLY; suit material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs
PF2008-R034,PlayerSuit_HelmetVisorRim,player blockout or partial visor material risk,Assets/_Project/Art/Generated/ProductFace/PlayerSuit/GEN_PlayerSuit_HelmetVisorRim_Source_LOD0.mesh,SuitVisor mask contract applies only to visor mask; body/trim still pending,Camera HUD visor rim readability,DO NOT APPLY; visor/body material package and prefab validation missing,ProductFacePlayerSuitMeshSourceAuthoring.cs and 1906 channel matrix
PF2008-R035,Item_Titanium legacy prefab,primitive mesh plus default package material,Canonicalize to TitaniumScrap route or quarantine alias,None until canonical route owner decides,Existing references and Data_TitaniumScrap truth,DO NOT APPLY; alias/reference proof missing and blind relink can create duplicate resource truth,Assets/_Project/Prefabs/Item_Titanium.prefab and 1897 titanium matrix
PF2008-R036,Buildings/Cube,primitive mesh,Classify with construction or MapMagic owner before replacement,None until route ownership is known,Any scene or MapMagic references,DO NOT APPLY; deletion/replacement forbidden without scoped owner proof,Assets/_Project/Prefabs/Buildings/Cube.prefab and 1892 runbook
PF2008-R037,Sky_System and Ocean_Crest primitive cleanup,visible primitive risk plus Crest exception rules,Run ProductFaceSkyOceanSourceValidator and repair only visible active primitive offenders,Sky/ocean materials are environment-owned and not ProductFace body PBR donors,Crest hidden input exceptions and scene overrides,DO NOT APPLY; no broad primitive deletion no Crest relink no environment donor material use,ProductFaceSkyOceanSourceValidator.cs
